,model_name,fold,sector,rmse,mae,r2
0,14_imputed_thresh_10_win_log,1,All,1.8746475293276772,1.2973650711394888,0.6720996419878931
1,14_imputed_thresh_10_win_log,1,10,1.7680441826149569,1.265892021401832,0.6410137281529786
2,14_imputed_thresh_10_win_log,1,15,0.9801089712395517,0.7510814341525371,0.5638981075966287
3,14_imputed_thresh_10_win_log,1,20,1.8227941952640168,1.211405214514034,0.43042988887642764
4,14_imputed_thresh_10_win_log,1,25,1.73400700398566,1.0422346191207112,0.5796740680702994
5,14_imputed_thresh_10_win_log,1,30,1.757265030454525,1.1457110481281523,0.4524207160555139
6,14_imputed_thresh_10_win_log,1,35,1.597960839522023,1.1079855246614827,0.5947148110694445
7,14_imputed_thresh_10_win_log,1,40,2.4285894379297748,1.9162658477199084,0.36917280139893316
8,14_imputed_thresh_10_win_log,1,45,1.8598716125674961,1.3298945777354259,0.6250491154837371
9,14_imputed_thresh_10_win_log,1,50,1.7289026072233815,1.2019973225500762,0.4262368580553888
10,14_imputed_thresh_10_win_log,1,55,2.299077650390436,1.7694220312344555,0.5281498275092058
11,14_imputed_thresh_10_win_log,1,60,2.4783744548273985,1.9572318554896257,0.482023643168771
12,14_imputed_thresh_10_win_log,2,All,1.9146752042847501,1.2924582668558857,0.6508073577142023
13,14_imputed_thresh_10_win_log,2,10,1.8817610966600864,1.5671734225715368,0.6247444651567189
14,14_imputed_thresh_10_win_log,2,15,1.1709677107757217,0.8001659439939732,0.5192942410045241
15,14_imputed_thresh_10_win_log,2,20,1.8483380224804118,1.2798674729720878,0.4030336861801863
16,14_imputed_thresh_10_win_log,2,25,1.61719215074863,1.1195064619871375,0.5638414657800042
17,14_imputed_thresh_10_win_log,2,30,2.1675661772832817,1.2846508329481854,0.4054991365870484
18,14_imputed_thresh_10_win_log,2,35,1.115248027303204,0.8343633824094476,0.7787597168682774
19,14_imputed_thresh_10_win_log,2,40,2.3117468783374133,1.729704295266277,0.20138344776478323
20,14_imputed_thresh_10_win_log,2,45,1.9951695540736276,1.300880562318418,0.5044061711986514
21,14_imputed_thresh_10_win_log,2,50,1.402586118814461,1.055038878297705,0.7611501030666763
22,14_imputed_thresh_10_win_log,2,55,2.931522103655734,2.0580473299758917,0.11521262596098236
23,14_imputed_thresh_10_win_log,2,60,2.7660458861082873,2.018716851676083,0.3176934332613308
24,14_imputed_thresh_10_win_log,3,All,1.9962519014523006,1.3562270468641873,0.6444385010582501
25,14_imputed_thresh_10_win_log,3,10,2.5792589092629243,1.7122385704000904,0.4786613586118227
26,14_imputed_thresh_10_win_log,3,15,1.4685415236989485,1.0719764753935472,0.5146266992093949
27,14_imputed_thresh_10_win_log,3,20,1.6711392671321645,1.1339965317951093,0.5393223700699561
28,14_imputed_thresh_10_win_log,3,25,1.8465682007646582,1.2682741465562357,0.49223480493323346
29,14_imputed_thresh_10_win_log,3,30,1.4623501652268205,0.9524342897705949,0.6669345002211386
30,14_imputed_thresh_10_win_log,3,35,1.8526705372349794,1.2098831582889795,0.6749319684291183
31,14_imputed_thresh_10_win_log,3,40,2.5177610759556512,1.84595822132221,0.32748545512630045
32,14_imputed_thresh_10_win_log,3,45,1.864344415707511,1.2791033110919259,0.6273461367318092
33,14_imputed_thresh_10_win_log,3,50,2.5030580351440164,1.672098516039039,0.4459613835047841
34,14_imputed_thresh_10_win_log,3,55,2.3050341846269626,1.576485865276822,0.4263804931298847
35,14_imputed_thresh_10_win_log,3,60,2.6619286188748896,1.9773752136942955,0.10233278928473255
36,14_imputed_thresh_10_win_log,4,All,1.9992943462271036,1.3329732584147447,0.6444950231101889
37,14_imputed_thresh_10_win_log,4,10,2.740565200434931,1.8952269727894602,0.32743143673262143
38,14_imputed_thresh_10_win_log,4,15,1.4432389214624537,0.8163138794864278,0.5857922184407445
39,14_imputed_thresh_10_win_log,4,20,1.8248063844118532,1.2636180527023642,0.5687812665872978
40,14_imputed_thresh_10_win_log,4,25,1.7050399359137853,1.0295242873155794,0.6031723685843502
41,14_imputed_thresh_10_win_log,4,30,2.0172927273721277,1.1521838626746694,0.17903246044683863
42,14_imputed_thresh_10_win_log,4,35,1.9393278363391573,1.2615180108853732,0.6727196673583113
43,14_imputed_thresh_10_win_log,4,40,2.5103473438399524,1.8987469478285328,0.3904414308575199
44,14_imputed_thresh_10_win_log,4,45,1.8008312636835206,1.3450251330812746,0.6322699114783347
45,14_imputed_thresh_10_win_log,4,50,2.0519710277366756,1.3751449080490301,0.4111597449536578
46,14_imputed_thresh_10_win_log,4,55,2.475999878741916,1.7002260531768525,0.3093075137406087
47,14_imputed_thresh_10_win_log,4,60,2.1939427603912156,1.7069803323574886,0.3187204620969345
48,14_imputed_thresh_10_win_log,5,All,1.871939618182092,1.308589430896126,0.6507965444678726
49,14_imputed_thresh_10_win_log,5,10,1.617927884215799,1.2921430590433818,0.3186219446551022
50,14_imputed_thresh_10_win_log,5,15,1.5261650811728764,0.9535424072369852,0.38552806725271815
51,14_imputed_thresh_10_win_log,5,20,1.5959907692996367,1.1100381527421168,0.5285768490983436
52,14_imputed_thresh_10_win_log,5,25,1.5496532833994188,1.0986730571746097,0.6317433703594368
53,14_imputed_thresh_10_win_log,5,30,1.9405537996916038,1.2268045356607826,0.533816467500409
54,14_imputed_thresh_10_win_log,5,35,0.9480268274988012,0.7464376790792897,0.7628534699193313
55,14_imputed_thresh_10_win_log,5,40,2.3903849887942177,1.9453029946313805,0.40783224623536485
56,14_imputed_thresh_10_win_log,5,45,1.9746173940064031,1.467689280983611,0.49154721915478505
57,14_imputed_thresh_10_win_log,5,50,2.0995711024559425,1.416205103142546,0.3120853589723054
58,14_imputed_thresh_10_win_log,5,55,1.8826348668435362,1.0700957240748632,0.40468986880752444
59,14_imputed_thresh_10_win_log,5,60,2.428864154545137,1.791443424562079,0.3695277947564348
