model_name,fold,rmse,mae,r2
catboost_baseline,1,57287356.80419244,53880925.49475256,-3.538738350033759
catboost_baseline,2,69379833.18309346,69200369.79933532,-174.43147311416098
catboost_baseline,3,15072103635.073067,322093659.8685459,-0.0004455408711583342
catboost_baseline,4,69209395.54488131,68963137.07915278,-100.95632509828475
catboost_baseline,5,69224012.90422806,69006775.84764755,-99.49379629062847
