,Date,TR.TotalAssetsActual,TR.F.PPENetTot,TR.CO2IndirectScope2,TR.F.OpExpn,TR.CO2DirectScope1,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicySustainablePackaging,TR.GICSSectorCode,TR.HQCountryCode
10,0.08457986633189328,0.09155211182598294,0.1783346947070553,0.7792300572086633,1.3283632804598495,0.44033579096412445,0.016394882278659685,0.10327909593579579,0.001805783274790329,0.0228262907340568,0.053259156203128814,0.00023672877284627083,0.19701282894101507,0.9305007826355168,0.17547525964190452
15,0.10247298405399113,0.08434939533375248,0.10976582185356418,0.5593697231612744,0.7799767477662024,0.38477601034602205,0.02362899876153883,0.04067433848395381,0.0007087356624242559,0.009654193899055452,0.030055030264373676,0.00041413898764012765,0.21966424815727562,1.1193145333811,0.28699215022535385
20,0.11949474770314006,0.061687890863998146,0.14933483380580778,0.4193721452680418,0.700020965381511,0.311495345017247,0.020945259328425347,0.0492992764264716,0.004392244883372154,0.011215104370869759,0.03302330180483404,0.0005337983095557611,0.22708459476341225,0.42640834792822063,0.27937647694924217
25,0.12383028517514288,0.06953548261746484,0.11892159006983943,0.44275089508864773,0.8629146303051484,0.31512595565589996,0.03137030205459295,0.05445715628501552,0.005026594047338174,0.009838794739518542,0.03305000011595842,0.0005435675598188014,0.2676441308234655,0.8961208477154281,0.32624481978438513
30,0.10128998747035545,0.08930949743919887,0.10859515894268776,0.3967671394968047,0.8480001080003258,0.3647166843532172,0.022600370512491565,0.04775032693538128,0.0009262732836309747,0.008243661027225395,0.02812970384156996,0.0016537880898864993,0.2789190686688401,1.0924917775697225,0.34769211139655387
35,0.12061085025469008,0.08359185569930842,0.11024378027025383,0.4108728036215708,0.8422517102510975,0.32201658116143383,0.01893838668365864,0.056602116102078506,0.0016620317266634371,0.009702354348401492,0.026043026689735314,0.0004540680334689524,0.2572429773191471,0.09506406319327351,0.35453151712195
40,0.15032808026114922,0.25670289891907516,0.10207317516236146,0.4633127828614137,0.7983237730972781,0.4081518318225452,0.00993210749107286,0.06616904459475524,0.015317645402810921,0.02061547158557805,0.053395574655571834,0.0010227284314435758,0.18887882938491413,2.0786856650282415,0.7266442682630718
45,0.1271940241459481,0.07855659894498598,0.10644781857456462,0.5002113991712133,0.8352019615887067,0.4514446904866086,0.030423113060429982,0.054825199979809676,0.005263552894382981,0.013343555067107212,0.03110305441401409,0.0003762442007439207,0.2615763947016902,0.1053229378821434,0.29487735360759165
50,0.12132384357329808,0.10292782676600971,0.10553974850612634,0.6388832745488631,1.0945156380139371,0.45570595964359084,0.02196627460494033,0.10220290173185423,0.004739736786075015,0.01734631438399647,0.029776377077931352,0.002120176828548505,0.2178741869928475,0.4237983314515882,0.3752517709132851
55,0.12664192170509053,0.127280868461592,0.1555084732874524,0.5641313697116934,0.7492188165043308,0.3600105237438237,0.00861860044422166,0.054316308124751765,0.0015746559007650304,0.025154035558443845,0.021942999805938154,0.00030540355217677315,0.1712594846603775,0.2444348739861534,0.521597621888594
60,0.11733383825018479,0.0739055186670656,0.14077865156639902,0.5488169992695549,1.4887502045588825,0.3031237271855642,0.006276520638288018,0.06956601606604713,0.005882429174840307,0.022399057102055052,0.04874189665843892,0.0005684442759151282,0.18548213215270443,0.904026848319637,0.38434252771626853
All,0.12252066066899132,0.10667453777155032,0.12036275305693231,0.47544556292332796,0.835097498024314,0.3655373481504351,0.02139926202657946,0.055846482782035564,0.005368088986990893,0.013463870822297015,0.03508228762242143,0.000688954409983905,0.23264085178984556,0.8505261758214151,0.38486717387747876
