,Date,TR.TotalAssetsActual,TR.F.PPENetTot,TR.CO2IndirectScope2,TR.F.OpExpn,TR.CO2DirectScope1,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicySustainablePackaging,TR.GICSSectorCode,TR.HQCountryCode
10,0.08385819570123718,0.10889861530056537,0.14591476018263114,0.7265146039630317,1.3591050258270718,0.4107567900474725,0.015826630595876308,0.04878334654929835,0.00225537901311879,0.013800789553587533,0.04719865816225297,0.0014068990891893379,0.2306097020497724,0.8253368824697344,0.21151818740395947
15,0.09054235826763316,0.059087162337688695,0.10761743576168104,0.5477500919326392,0.7876820881988268,0.41485060441491933,0.016723575446870715,0.04970411111366268,0.0014596073922277266,0.0038457823319101104,0.033155920738807104,0.0020984775954621983,0.21991747477151619,1.0454213654866493,0.22741006141328893
20,0.10568949367502503,0.05817737083902924,0.1219184410842152,0.4078311966661672,0.6680624235969675,0.3390438940925886,0.023646225243002368,0.06869456769352904,0.005354375171024717,0.006879566928868453,0.04964594765310776,0.0019550849000149854,0.24590909803640318,0.3676555925757082,0.2359135691712462
25,0.10836224914073132,0.0662847451794543,0.12994381378996028,0.45040840758331374,0.8269921448643254,0.37561204231575185,0.03321804733897203,0.07230811185026556,0.0036831784195306048,0.005581206859796345,0.04105337595243941,0.0016899241604248253,0.28649261488056416,0.7581228843747296,0.3223917013431332
30,0.0895995467632996,0.07818776112160039,0.11389779101921485,0.42619896752976016,0.8278195092144296,0.42343652813472804,0.018387374883694026,0.0543395947599541,0.002070532328659041,0.003965709203483197,0.028283860572188062,0.004698436452513602,0.28557723308663396,0.9736224157744053,0.2664975358078412
35,0.10949780633731487,0.08767467797444188,0.11054168781298082,0.35626389651405954,0.818503651123957,0.3192393784991562,0.021898586100264572,0.06320273199870839,0.0027667925640218276,0.006699126115986865,0.037189964400116876,0.0006158194783347164,0.2681923837974915,0.15050070702384938,0.3110949817273759
40,0.13740883027189918,0.3006483061163594,0.2797565137382417,0.4008008824753351,0.783112452981884,0.4532649776596305,0.01552771603930461,0.05353767589038286,0.013432566120924817,0.015750158943321622,0.06952764172101032,0.0038741997803623603,0.23677031307662794,2.0131139753155964,0.7025574906297986
45,0.11851480874519871,0.07680543789389495,0.15503791905893766,0.46065062377674,0.7814509706510859,0.4753779003453818,0.03602080064425694,0.0678613495244725,0.0023464132219508313,0.008255777378936355,0.046728634015540636,0.00043729328035759825,0.2923112098955901,0.12713268205511627,0.26495588369675604
50,0.1151291867213298,0.11776778773945278,0.10816254716525807,0.5293004768520725,1.0985188269442996,0.48386245551097784,0.019829918100463865,0.1159665228054638,0.00934846144938201,0.011841142020676956,0.03791958382835078,0.0027605747524627883,0.20218812543100287,0.350845632935343,0.4080832531332276
55,0.11618201328145587,0.09978743486143044,0.1416663426358501,0.531388980346147,0.7961669236241888,0.35623424640051654,0.012010837065644993,0.044016266322983756,0.0011786896428484972,0.01065004178968942,0.02291001340121324,0.0006376069597215803,0.1733333827661704,0.2963163714022366,0.4766501904798018
60,0.09442354176635957,0.04193902531303058,0.2524509771217084,0.46816897290097725,1.398301444923827,0.35872426170841787,0.011520127445487619,0.06747675824848952,0.006697145991545234,0.010403141212866776,0.05011264919638919,0.0009425309139870358,0.19125789801698637,0.6940883300430404,0.3443125227723747
All,0.11000285831409887,0.1071931564037155,0.15414890523273997,0.44934818046091074,0.8116897698478341,0.400329439909103,0.023056955927604438,0.06311808039382243,0.005058432418920558,0.00814092000368012,0.045261434913656085,0.002091397340101912,0.25204995875477715,0.7875259966964576,0.35108001912097914
