002129.SZ;2024-01-01;13737096.43
002340.SZ;2016-01-01;
002340.SZ;2017-01-01;
002340.SZ;2018-01-01;
002340.SZ;2019-01-01;
002340.SZ;2020-01-01;
002340.SZ;2021-01-01;
002340.SZ;2022-01-01;
002340.SZ;2023-01-01;9499740.01
002340.SZ;2024-01-01;3803019.5
002352.SZ;2016-01-01;
002352.SZ;2017-01-01;
002352.SZ;2018-01-01;
002352.SZ;2019-01-01;
002352.SZ;2020-01-01;
002352.SZ;2021-01-01;
002352.SZ;2022-01-01;2522391.5
002352.SZ;2023-01-01;775202.1
002352.SZ;2024-01-01;841927.1
002380.KS;2016-01-01;714417.0
002380.KS;2017-01-01;714417.0
002380.KS;2018-01-01;714417.0
002380.KS;2019-01-01;714417.0
002380.KS;2020-01-01;714417.0
002380.KS;2021-01-01;714417.0
002380.KS;2022-01-01;714417.0
002380.KS;2023-01-01;714417.0
002380.KS;2024-01-01;714417.0
002459.SZ;2016-01-01;
002459.SZ;2017-01-01;
002459.SZ;2018-01-01;
002459.SZ;2019-01-01;
002459.SZ;2020-01-01;
002459.SZ;2021-01-01;
002459.SZ;2022-01-01;
002459.SZ;2023-01-01;19142262.0
002459.SZ;2024-01-01;27778243.0
002475.SZ;2016-01-01;
002475.SZ;2017-01-01;
002475.SZ;2018-01-01;
002475.SZ;2019-01-01;
002475.SZ;2020-01-01;
002475.SZ;2021-01-01;3506185.6
002475.SZ;2022-01-01;3325446.59
002475.SZ;2023-01-01;2014192.98
002475.SZ;2024-01-01;1391925.15
002506.SZ;2016-01-01;
002506.SZ;2017-01-01;
002506.SZ;2018-01-01;
002506.SZ;2019-01-01;
002506.SZ;2020-01-01;
002506.SZ;2021-01-01;
002506.SZ;2022-01-01;
002506.SZ;2023-01-01;13789146.15
002506.SZ;2024-01-01;21060374.19
002555.SZ;2016-01-01;
002555.SZ;2017-01-01;
002555.SZ;2018-01-01;
002555.SZ;2019-01-01;
002555.SZ;2020-01-01;
002555.SZ;2021-01-01;100.4
002555.SZ;2022-01-01;80.32
002555.SZ;2023-01-01;123.69
002555.SZ;2024-01-01;
002790.KS;2016-01-01;
002790.KS;2017-01-01;
002790.KS;2018-01-01;
002790.KS;2019-01-01;
002790.KS;2020-01-01;250413.0
002790.KS;2021-01-01;262258.0
002790.KS;2022-01-01;184793.0
002790.KS;2023-01-01;188800.0
002790.KS;2024-01-01;
002797.SZ;2016-01-01;
002797.SZ;2017-01-01;
002797.SZ;2018-01-01;
002797.SZ;2019-01-01;
002797.SZ;2020-01-01;
002797.SZ;2021-01-01;
002797.SZ;2022-01-01;80.24
002797.SZ;2023-01-01;61.24
002797.SZ;2024-01-01;
002916.SZ;2016-01-01;1521219.36
002916.SZ;2017-01-01;1521219.36
002916.SZ;2018-01-01;1521219.36
002916.SZ;2019-01-01;1521219.36
002916.SZ;2020-01-01;1521219.36
002916.SZ;2021-01-01;1521219.36
002916.SZ;2022-01-01;1521219.36
002916.SZ;2023-01-01;1521219.36
002916.SZ;2024-01-01;1521219.36
002939.SZ;2016-01-01;
002939.SZ;2017-01-01;
002939.SZ;2018-01-01;
002939.SZ;2019-01-01;
002939.SZ;2020-01-01;
002939.SZ;2021-01-01;
002939.SZ;2022-01-01;44.29
002939.SZ;2023-01-01;177.4
002939.SZ;2024-01-01;49.26
003550.KS;2016-01-01;
003550.KS;2017-01-01;
003550.KS;2018-01-01;
003550.KS;2019-01-01;
003550.KS;2020-01-01;
003550.KS;2021-01-01;3553000.0
003550.KS;2022-01-01;3588000.0
003550.KS;2023-01-01;13179000.0
003550.KS;2024-01-01;
003670.KS;2016-01-01;
003670.KS;2017-01-01;
003670.KS;2018-01-01;
003670.KS;2019-01-01;
003670.KS;2020-01-01;
003670.KS;2021-01-01;
003670.KS;2022-01-01;3434090.4
003670.KS;2023-01-01;664089.0
003670.KS;2024-01-01;
004000.KS;2016-01-01;
004000.KS;2017-01-01;
004000.KS;2018-01-01;
004000.KS;2019-01-01;
004000.KS;2020-01-01;
004000.KS;2021-01-01;3954504.0
004000.KS;2022-01-01;3622254.0
004000.KS;2023-01-01;3065040.0
004000.KS;2024-01-01;
004020.KS;2016-01-01;
004020.KS;2017-01-01;
004020.KS;2018-01-01;
004020.KS;2019-01-01;
004020.KS;2020-01-01;
004020.KS;2021-01-01;617450.0
004020.KS;2022-01-01;655820.0
004020.KS;2023-01-01;764830.0
004020.KS;2024-01-01;
005300.KS;2016-01-01;
005300.KS;2017-01-01;
005300.KS;2018-01-01;
005300.KS;2019-01-01;
005300.KS;2020-01-01;
005300.KS;2021-01-01;
005300.KS;2022-01-01;1177020.0
005300.KS;2023-01-01;843112.0
005300.KS;2024-01-01;
005380.KS;2016-01-01;
005380.KS;2017-01-01;
005380.KS;2018-01-01;20701283.0
005380.KS;2019-01-01;20024630.0
005380.KS;2020-01-01;17014155.0
005380.KS;2021-01-01;18359619.0
005380.KS;2022-01-01;19852763.0
005380.KS;2023-01-01;23518427.0
005380.KS;2024-01-01;
005490.KS;2016-01-01;
005490.KS;2017-01-01;
005490.KS;2018-01-01;
005490.KS;2019-01-01;
005490.KS;2020-01-01;3828530.0
005490.KS;2021-01-01;4498455.0
005490.KS;2022-01-01;7242580.0
005490.KS;2023-01-01;5404017.0
005490.KS;2024-01-01;
005930.KS;2016-01-01;
005930.KS;2017-01-01;
005930.KS;2018-01-01;7952000.0
005930.KS;2019-01-01;8278000.0
005930.KS;2020-01-01;8030000.0
005930.KS;2021-01-01;
005930.KS;2022-01-01;14596000.0
