,model_name,fold,sector,rmse,mae,r2
0,catboost_baseline,1,All,25214162.41019906,5686596.700420544,0.12076155481178041
1,catboost_baseline,1,10,59663445.93257432,27558348.54663632,0.023150444414855254
2,catboost_baseline,1,15,4617582.190890652,3437498.3772259955,-0.3675557949966537
3,catboost_baseline,1,20,5449749.606612575,3386820.4555591648,-1.1114251856607136
4,catboost_baseline,1,25,16887059.3230021,7900060.023322035,0.4599607836756002
5,catboost_baseline,1,30,41188311.2935765,12517437.185913924,0.2100647147114586
6,catboost_baseline,1,35,4800531.498828597,3147075.094581527,-1.7244460410450735
7,catboost_baseline,1,40,44580285.82504499,5017862.619661478,0.003315636449365944
8,catboost_baseline,1,45,4196833.746345663,2946135.7957385844,-0.1509254660351318
9,catboost_baseline,1,50,7204088.659413284,5183449.1512972135,-27.833149867105444
10,catboost_baseline,1,55,9488912.353691192,7609336.219442962,-2.991727010054989
11,catboost_baseline,1,60,4672435.77882736,3330514.348811707,-125.56438931045552
12,catboost_baseline,2,All,42802606.0390492,42467760.19261583,-65.77000847339076
13,catboost_baseline,2,10,44867865.37595912,44136306.18726756,-31.009630874700143
14,catboost_baseline,2,15,41158976.42827885,40940824.41529164,-67.98816654653218
15,catboost_baseline,2,20,43294748.09414814,42940124.64002966,-308.66005088638
16,catboost_baseline,2,25,41860352.951626554,41724856.6683606,-129.85643641688392
17,catboost_baseline,2,30,39988705.68956832,38747201.718817964,-7.666237780448627
18,catboost_baseline,2,35,42231631.854266316,42182915.56871593,-535.332664744304
19,catboost_baseline,2,40,43604428.352019995,43437878.627849415,-25593.573268632557
20,catboost_baseline,2,45,42797282.54293273,42508743.482453845,-223.77817853150003
21,catboost_baseline,2,50,45622740.299141034,45393547.74939558,-2596.7410183132356
22,catboost_baseline,2,55,45891868.36986317,45683567.69977633,-427.7377950959222
23,catboost_baseline,2,60,44368016.11500715,44220282.25671005,-2654.0814649719846
24,catboost_baseline,3,All,15072111143.55527,322088501.36280584,-0.00044653765695423786
25,catboost_baseline,3,10,5199517.493987894,3481272.78245583,-0.024230172684139406
26,catboost_baseline,3,15,8032263.419963818,3991589.999970126,-0.03781396857709329
27,catboost_baseline,3,20,33149424381.23538,1546663737.351552,-0.0021708943068459163
28,catboost_baseline,3,25,19709552.462868806,3666207.351916614,0.0005102302928702285
29,catboost_baseline,3,30,3634143.973945308,2663512.545461652,0.05895780217319979
30,catboost_baseline,3,35,2261004.0135102165,2177697.5197327007,-7.849769731859821
31,catboost_baseline,3,40,2602921.6396041824,2580858.777968922,-54.24191696677585
32,catboost_baseline,3,45,3097140.2042962387,2485888.540454928,-0.2725556646329157
33,catboost_baseline,3,50,2538873.4047754044,2320472.954842992,-0.9511712285849692
34,catboost_baseline,3,55,2461090.7389490404,2208049.489250948,-1.6110942761415115
35,catboost_baseline,3,60,2612180.2034391877,2588400.792317213,-4.849336738839874
36,catboost_baseline,4,All,20220258.287879515,19151598.035025775,-7.702769050667195
37,catboost_baseline,4,10,20009408.116256416,19160636.875200275,-18.572319462144467
38,catboost_baseline,4,15,19697285.88965693,19029828.73529423,-17.176953173128066
39,catboost_baseline,4,20,20640785.1281546,19295068.063988663,-59.03999976351825
40,catboost_baseline,4,25,17253074.400859162,16960843.156739347,-3.6057583748160207
41,catboost_baseline,4,30,20888564.086231396,18390163.753133964,-0.42949873556936247
42,catboost_baseline,4,35,20437454.260959134,18935996.80684311,-48.09298407550532
43,catboost_baseline,4,40,20478620.88972827,19735805.160559714,-4511.540870695108
44,catboost_baseline,4,45,18329996.414254237,17923908.21011754,-35.82129145665056
45,catboost_baseline,4,50,23025365.65908569,21802756.120758776,-976.1451691855275
46,catboost_baseline,4,55,24986398.33022885,24249777.88005301,-113.24335312056633
47,catboost_baseline,4,60,20223796.231339455,19780366.6592132,-7535.625830551501
48,catboost_baseline,5,All,28277707.93058464,27508356.545352876,-15.76926849344914
49,catboost_baseline,5,10,25882172.056833364,25462604.903346762,-26.96702780499269
50,catboost_baseline,5,15,27842542.194681402,27472469.21978993,-11.701621244179131
51,catboost_baseline,5,20,28447177.34941206,27620110.443511516,-18.605152499092064
52,catboost_baseline,5,25,27214751.653120123,26134644.648410745,-24.484665198762944
53,catboost_baseline,5,30,28280989.465302717,26242298.1094757,-1.250005463169214
54,catboost_baseline,5,35,27378026.358697,26771324.469348688,-24.48705012425605
55,catboost_baseline,5,40,27904356.52493522,27571681.338140436,-15511.96876418273
56,catboost_baseline,5,45,28637562.33052776,27708633.387542617,-100.37049091103039
57,catboost_baseline,5,50,29669621.407245908,29238520.139501944,-1263.4922387790114
58,catboost_baseline,5,55,32159018.638611566,31642499.17893387,-104.82086353228914
59,catboost_baseline,5,60,28473364.705186795,28221141.026787557,-9145.612055549906
