,model_name,fold,sector,rmse,mae,r2
0,catboost_baseline,1,All,25356152.611380752,6619326.179974637,0.11083104347919792
1,catboost_baseline,1,10,59635625.354371145,27740398.549371734,0.024061225980838374
2,catboost_baseline,1,15,4987232.201431705,3726303.773028546,-0.5952728114311745
3,catboost_baseline,1,20,6592990.925926646,4375215.975698856,-2.090206888216793
4,catboost_baseline,1,25,17384078.557983555,9025044.02491486,0.42770415601869305
5,catboost_baseline,1,30,41307252.2006356,13114491.003580492,0.20549588069829583
6,catboost_baseline,1,35,5081799.615725623,3394339.6535364287,-2.0530550535230274
7,catboost_baseline,1,40,44448230.53337118,6662720.948175392,0.009211628542848738
8,catboost_baseline,1,45,4926066.254202839,3538762.4314314434,-0.5856384418979554
9,catboost_baseline,1,50,7907807.617038883,5998870.881845072,-33.741309298099104
10,catboost_baseline,1,55,11909755.752389034,9655506.19508945,-5.288306074829817
11,catboost_baseline,1,60,5685255.85094497,4363950.216210371,-186.38070727667304
12,catboost_baseline,2,All,42403635.946535505,41962370.99249343,-64.53106138249387
13,catboost_baseline,2,10,43548365.33922785,42825492.5025538,-29.15459952754273
14,catboost_baseline,2,15,39772847.712118104,39508032.97755655,-63.41972196085807
15,catboost_baseline,2,20,43166841.46002921,42677047.521009855,-306.83308249863154
16,catboost_baseline,2,25,41251913.95563232,41035325.42047903,-126.08009295944285
17,catboost_baseline,2,30,39036405.333712064,37673492.2741972,-7.258392945248696
18,catboost_baseline,2,35,41491077.900295384,41386542.88793414,-516.6878315209007
19,catboost_baseline,2,40,45123101.99240684,44716479.71545127,-27407.457422690204
20,catboost_baseline,2,45,42626159.0621773,42271463.845180124,-221.98423639870956
21,catboost_baseline,2,50,43739136.15788268,43565589.51125704,-2386.66569840799
22,catboost_baseline,2,55,45069491.04086331,44845132.5030212,-412.50960241635954
23,catboost_baseline,2,60,44114846.56289367,43919893.985424854,-2623.8674479777123
24,catboost_baseline,3,All,15072107833.775656,321908354.1956888,-0.00044609826831654154
25,catboost_baseline,3,10,5091652.44213169,3386198.8009290295,0.017824764081985855
26,catboost_baseline,3,15,7965678.75975907,3847401.014055545,-0.020679054271594888
27,catboost_baseline,3,20,33149417165.450554,1546483663.9056168,-0.002170458012769716
28,catboost_baseline,3,25,19678127.41255272,3490673.8426685184,0.003694876619400156
29,catboost_baseline,3,30,3433984.263341757,2505982.2409099853,0.15976369617742403
30,catboost_baseline,3,35,2061076.5637331565,1991653.532940675,-6.353897192520198
31,catboost_baseline,3,40,2373261.9486668315,2347402.6568350275,-44.9238093169274
32,catboost_baseline,3,45,2928023.010138812,2316564.5606159363,-0.13737591513849323
33,catboost_baseline,3,50,2367077.8725937214,2151352.5415917295,-0.6960489490699362
34,catboost_baseline,3,55,2320329.0222843774,2056970.33202721,-1.3209535276066529
35,catboost_baseline,3,60,2341449.490832478,2317196.6576121943,-3.699697917704478
36,catboost_baseline,4,All,9362405.148275003,5348172.453807222,-0.8657735093919012
37,catboost_baseline,4,10,8002870.914044212,6520706.351263261,-2.1308728807016184
38,catboost_baseline,4,15,6800370.897968354,4783438.672964371,-1.1665739243825595
39,catboost_baseline,4,20,9812447.846980793,5095870.258616989,-12.568848053118588
40,catboost_baseline,4,25,6292630.186846134,4259494.623149198,0.38732158684187823
41,catboost_baseline,4,30,16017368.163719045,7909492.026724964,0.1594783238710744
42,catboost_baseline,4,35,9498101.038234418,4651011.255278612,-9.60325986825855
43,catboost_baseline,4,40,8228079.548760783,4986194.587444388,-727.4784343233539
44,catboost_baseline,4,45,5001781.9473319445,3249878.802799749,-1.741724205073408
45,catboost_baseline,4,50,10577502.34992542,7521951.279490587,-205.21121381178742
46,catboost_baseline,4,55,12127948.970802806,9204641.311269687,-25.915245474849858
47,catboost_baseline,4,60,8493835.021362042,6202846.319025093,-1328.410900437025
48,catboost_baseline,5,All,10469656.905059375,5861566.533997027,-1.2987440020916834
49,catboost_baseline,5,10,5764746.678197077,4489688.020264158,-0.38741162718883704
50,catboost_baseline,5,15,8431354.252575226,5834244.16503932,-0.16475895805269447
51,catboost_baseline,5,20,10553411.088252377,5705429.174399585,-1.6982213562425224
52,catboost_baseline,5,25,12597582.951102782,6164093.083463268,-4.460653690473357
53,catboost_baseline,5,30,17785892.925314914,7127051.565174617,0.11009075315163952
54,catboost_baseline,5,35,6397620.937400279,4134908.563053205,-0.39172140594539817
55,catboost_baseline,5,40,7748455.256202174,5231414.013718278,-1195.1376286391621
56,catboost_baseline,5,45,10144888.344345704,5414814.944077611,-11.721373326437867
57,catboost_baseline,5,50,7681702.8894887315,5381622.895948097,-83.76316607193746
58,catboost_baseline,5,55,12517779.281739416,9936172.943338031,-15.033203530988974
59,catboost_baseline,5,60,6913603.214535942,5266699.351632656,-538.2517700933847
