,Date,TR.WasteRecycledTotal,TR.TotalAssetsActual,TR.F.PPENetTot,TR.TotalRenewableEnergy,TR.InventoryActValue,TR.TotalDebtActValue,TR.CO2EquivalentEmissionIndirectScope2Locationbased,TR.CO2IndirectScope2,TR.GoodwillActValue,TR.SGandAExpActual,TR.WasteTotal,TR.F.OpExpn,TR.F.GrossProfMarg,TR.NumberofEmployees,TR.EnergyUseTotal,TR.CurrentAssetsActValue,TR.CapexActValue,TR.F.GrossProfIndPropTot,TR.GPMActValue,TR.NWCActValue,TR.CurrentLiabilitiesActValue,TR.GrossIncomeActValue,TR.CO2DirectScope1,TR.F.AcctRcvblTurnover,TR.RenewEnergyProduced,TR.SupplierEnvironmentalCommitment,TR.SupplierEnvironmentalDueDiligence,TR.SupplierEnvironmentalPolicyTraining,TR.SupplierEnvironmentalRiskAssessment,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyWaste,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicyLocalSourcing,TR.PolicyResourceEfficiency,TR.PolicySustainablePackaging,TR.FindingsfromSupplierMonitoring,TR.ClimateCommitment,TR.F.IntangGrossTot,TR.F.InvntTurnover,TR.RenewEnergyPurchased,TR.F.RcvblTot,TR.EnergyUseIndirect,TR.GICSSectorCode,TR.HQCountryCode
10,0.0,4879557.097035723,3266617.0766729647,12734073.387776684,7644542.018947599,2737025.615026739,6385673.461623451,2407058.3608642668,8065898.890149471,5326929.648246817,5730600.278184941,7568562.752207774,2306040.552138362,18274908.90911501,63847688.27661234,1188763.5974474591,1966114.804422648,2523096.9306953223,6950800.190638296,7567153.8729263935,3991967.665700047,6456202.778921221,9952017.737798842,2442537.3119040313,2077398.1727881741,4230234.795521543,3626079.520406368,15041797.861434037,22987702.87542155,9550970.049223715,1228492.3800761502,334650.69501544343,24507680.755684033,43577.77131617219,182234.23782116827,2655435.6155192675,76079.04533218297,8793726.26252367,10356907.21323572,5968195.775241399,20797971.307277523,4543018.21530567,8505902.463547956,10983485.529292356,4710492.211137294,47575.85444436486,381544.84794214234,0.0,18166405.1244057
15,0.0,4677798.918279506,2118809.6752466285,9853521.062127605,7400478.750949487,1249486.9012668906,6155528.889441802,1830940.2859703626,4732482.677578076,3892633.4826343325,3359367.4199139015,6815325.697959005,2546632.965491713,11281137.396220272,46468793.21025739,1084323.770908404,1472114.573971745,1597189.2471912643,6778837.5669055665,6381760.308652631,3751718.656925474,5748695.278911028,5131225.312327684,1259397.2840847566,1319066.0286770205,2002105.0026652701,2558934.4240111774,17084856.579360638,23713439.025311016,9155863.16422644,1355952.7737081859,713125.5737527319,18435773.373574506,39943.15429158498,93458.89549126374,842474.656487372,93284.92644329787,6976317.8546657795,9499426.449105771,4361678.897683397,22720834.45339808,3695679.963872243,7815212.296642111,3737550.164932235,3639410.0454271995,48092.26311850655,123714.86115019857,0.0,12218725.681340935
20,0.0,6334463.921540876,5100253.754288464,35795181.62441444,10317015.1913451,2142685.6367054014,9565026.816239692,8214505.372786925,7259765.801490356,6160742.831493303,6972707.499133305,7869944.138166501,3341366.843239575,15095677.231231617,127742080.98603342,5876494.062297368,2865052.6142809284,3650515.595455715,27634134.047866754,12422722.119598208,7573229.053950121,8611203.412866049,7191865.226760721,3027071.6805504826,3467951.7392974617,9382148.780462177,4178081.676479126,17883722.65134552,25842113.40903922,12886252.604396326,2329580.8742632633,507331.83568247245,22810894.248406004,55934.169363672794,432772.1639773329,1035827.1508683502,157805.5103530917,9412592.735088123,15585408.234564962,6295207.578845109,30601387.62218029,4902746.226123848,9580560.807639685,11980372.52351221,4550455.228786572,51081.88654469579,1410924.972281531,0.0,24917637.862818897
25,0.0,4461521.346809022,3291849.4969264255,13638983.140666021,10353198.675398085,2658520.417181902,6572008.664722028,4485088.596611452,7925252.9066543635,4984857.4355097,6141849.587152577,7244363.797947746,3319419.531927353,12461679.938438898,74941289.83075918,1816777.612877606,2519906.2779749082,3361478.0379114635,8960152.051457774,11164272.324584942,7477714.942950415,6857425.53022194,7542492.44079236,2906675.853618835,3097278.7977871806,1756529.8436146777,2960770.7888486614,15781188.813070375,23305806.89003352,15156717.164227173,2198586.246544262,406177.33814210346,21067686.582858823,62182.163294878526,209490.45846880527,656460.5300933364,195177.34294426406,8379792.471612027,12376910.037639098,6382193.246197166,27014007.086616393,4534227.930603185,10539670.960808592,8455023.882788006,3793175.417254161,46042.64865105419,149498.85879448437,0.0,21601492.7827145
30,0.0,5255151.643149886,3342620.356336663,14008529.904621916,9680223.836687112,1600471.123835962,5862814.463137449,2398580.8884406514,6599392.683553966,5376613.291572554,5561943.60709436,7319145.013196118,3624520.668416378,9585481.810507571,59131203.36901689,1743738.4545996706,2023208.497762155,2429621.117725311,9320708.400663167,9478455.04414899,5820097.610015897,6741816.265707886,8808109.136542546,1603824.9106061072,2288240.6315561184,2394438.4287612755,2567701.9343324616,17406941.9760792,26163934.68939038,11189153.783192588,2103884.212170298,355903.988873885,19324678.034298323,46061.23973817783,125920.93943540298,706104.78654277,137505.73890435218,8489546.74112385,11781165.18624362,6432511.299855583,29557513.5359427,4880415.644822787,9485012.330307798,6708641.372202427,3741988.820877976,43670.02402275924,460767.01973079535,0.0,16501410.258837331
35,0.0,4579636.575616561,4001372.32711674,12944835.910874354,10541867.943303097,1611420.5771618164,7151368.467555048,4093934.0658885147,5938759.4630676415,5359442.194147399,5447884.641447471,4916168.456663589,4782015.641953488,9343186.67930088,63652102.53556954,2839704.1898375694,2555225.6962841745,3417689.726517516,10594256.017018864,14767729.162337646,7851797.533726113,6904437.672429784,8188722.153286416,3664132.196846267,2926643.126602611,1177423.3468166834,2682299.030706425,11646438.608693765,22581643.934444264,11006761.573197363,1451938.8299798737,593873.6972716087,21373578.364242923,76145.84543501704,102001.01978884907,474027.5205038863,97911.44130097877,6834864.656023162,9636197.923225198,5104764.058151489,23101818.205210354,4438483.188538344,7844582.834974111,7001757.4477367215,3375883.4396394626,53921.130830146256,78941.95655767282,0.0,17352906.37619309
40,0.0,3203045.112116443,2141702.790550743,13528472.93165705,6497968.332698431,915048.8910750936,6568452.962000959,3003048.2697507455,6180207.851502625,5371758.30224715,6052865.656887223,4893374.808382555,3575155.879343493,10521569.134091899,45541800.940525174,1742317.2239719874,3391687.2515500877,3604216.1607527123,8616450.119072853,7163285.107639107,4513692.168747239,8321762.694084302,6053356.718349996,4315548.280657609,3273022.503340415,681300.1549188157,3111106.4025853346,7172946.590161439,21378472.32009458,6345227.957457455,1326981.893599738,573159.5484451326,16833617.817780595,107174.40578381332,157122.75268376464,859822.9185978498,129974.43504077975,7251759.976555211,9348735.499194477,3676451.6520552672,26386994.734285504,3045725.4819402625,6068495.557818724,10362588.951590454,1602865.414625578,365847.95940215414,237235.33947639013,0.0,11837070.76737127
45,0.0,4614807.4134343155,7424100.081487194,31076389.505143177,9920521.109997675,1942834.6146524015,7534182.882164175,7652849.028627215,7471023.687184605,12364904.526977232,7387530.667942266,5240868.331733707,5305000.940482903,18161244.240469243,119706114.96760213,6838458.941544995,2707347.813789607,4601725.81979602,29738332.724620797,15931799.520583274,7704332.554927734,7718734.980881527,8470824.027647413,4904410.786808839,2922482.128085152,1899933.6347433133,4447152.50420179,17998759.764762964,34050114.28719623,14439364.126573266,2564147.0011806246,652197.7550773306,27127901.938542657,153183.3258096898,254103.65317519315,1060676.4216843084,250028.24286883938,11741081.103124114,14386697.07393184,7525394.682199388,27809279.27647895,5202235.397609835,10511986.51537691,11259398.459506432,3617290.6350879855,49995.24386388474,212492.85980088235,0.0,26492961.960129667
50,0.0,3965897.989990045,6407250.282485751,17729052.537447054,12663774.69336892,3021643.2866332317,8707530.459977461,5203635.393547127,11032399.94967638,6473800.416317087,6540831.799275567,6938451.155900932,5111534.724541604,14941613.02150283,98026892.23233172,3119583.382379391,4272213.206885871,4391265.517063602,9659904.002359103,17217045.89740243,9738186.677788788,7862469.07485106,11159060.441184204,4249192.055381433,3713491.8899921714,2174651.030893145,4364813.005405636,25264863.66203041,35059293.52728914,20541561.129439604,4598464.5521362,810077.9932318832,26377829.905231167,81378.85652872197,284263.249795479,949245.2296073647,335831.9933424783,8250763.414111106,10275601.262074368,8183779.0269939415,31871510.287630018,5813063.631881976,17504690.939285677,20050805.161649548,5867890.361621721,49941.79050202044,125107.58831610014,0.0,21231552.930742007
55,0.0,4465199.493816714,4346415.426821916,14154598.96711873,7974085.74088056,1129383.1203794256,6863565.598080741,2639232.9660693854,7464033.348381299,3018495.3283402245,8572474.448141223,6724872.908056623,2588731.234366371,9866693.04234367,65136045.42827556,1152189.714112188,2016008.94578254,2515049.52835777,9120346.885701487,9288863.63959102,5109770.47898801,6366375.02648018,7743200.390144277,2075538.8874416323,2046005.8587929641,4948053.197518096,4062874.3087440166,10300116.908719774,21400745.224256363,5763251.70348508,1600605.1024473773,475040.7109417248,24073917.46937485,31388.67872358656,178306.43804768022,1433566.59458568,106890.76618059793,9595418.138391698,9866915.71471551,5421950.311384426,26305343.73598747,4094464.0672303746,6767681.364908298,14051277.39624994,3157682.5730163697,59545.223327575426,547263.3171196321,0.0,16236314.700077247
60,0.0,3077900.2690624185,3156839.1844778284,16094574.27323407,6097110.946384698,1297343.2079046539,6492113.214879653,3096897.252245121,5406487.331398875,5546072.322667908,8329488.327597124,5337794.45940758,5895788.077052389,16569550.939733602,57735565.93397295,2277970.675629421,3051214.9441175438,3774676.344834307,11508378.267095407,8400308.991009384,4857681.221714466,9903255.058525534,6428142.126560029,3253241.8968345313,3123386.7113838247,1184041.4862887168,3872591.25688906,10339673.732868174,25576068.31253928,10803552.185856279,1759104.2813559675,300785.72281322035,24203849.591704924,134129.54739784036,349591.8451367333,1007191.2933201488,104415.41863011538,7893430.124570494,11265743.907239964,4989207.07558841,23817508.652154442,3513213.877076239,7510114.302990738,10545150.58909288,2844218.8982306547,73318.75527971948,239728.83460475467,0.0,15166728.325255783
