,Date,TR.WasteRecycledTotal,TR.TotalAssetsActual,TR.F.PPENetTot,TR.TotalRenewableEnergy,TR.InventoryActValue,TR.TotalDebtActValue,TR.CO2EquivalentEmissionIndirectScope2Locationbased,TR.CO2IndirectScope2,TR.GoodwillActValue,TR.SGandAExpActual,TR.WasteTotal,TR.F.OpExpn,TR.F.GrossProfMarg,TR.NumberofEmployees,TR.EnergyUseTotal,TR.CurrentAssetsActValue,TR.CapexActValue,TR.F.GrossProfIndPropTot,TR.GPMActValue,TR.NWCActValue,TR.CurrentLiabilitiesActValue,TR.GrossIncomeActValue,TR.CO2DirectScope1,TR.F.AcctRcvblTurnover,TR.RenewEnergyProduced,TR.SupplierEnvironmentalCommitment,TR.SupplierEnvironmentalDueDiligence,TR.SupplierEnvironmentalPolicyTraining,TR.SupplierEnvironmentalRiskAssessment,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyWaste,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicyLocalSourcing,TR.PolicyResourceEfficiency,TR.PolicySustainablePackaging,TR.FindingsfromSupplierMonitoring,TR.ClimateCommitment,TR.F.IntangGrossTot,TR.F.InvntTurnover,TR.RenewEnergyPurchased,TR.F.RcvblTot,TR.EnergyUseIndirect,TR.GICSSectorCode,TR.HQCountryCode
10,0.0,1452261.1433098265,998619.7991093961,12758774.944436055,3741562.2470858,1027120.7504869832,4031983.2068436528,1108576.3418219169,13698541.595525399,406204.08861917077,3599650.70840935,4677957.891113996,2739108.524359089,0.0,40588705.14069783,1046669.9014906764,4890095.273779995,2471134.616370789,2205967.0424045254,7938561.054790685,1856129.597119408,4191050.3074092427,2424846.104059915,1979171.7582431973,891468.4379534206,789643.3760314389,2214567.2296093944,7973541.816420028,36562319.428637184,7704354.682248732,502650.3913108477,315460.2255454317,6900491.000403555,61780.78135894,86296.30654979359,161656.706127003,50020.472152671326,4289267.620540413,11296266.042997533,1797639.165058654,7780518.033803173,6087138.983351796,11175642.364534099,3385770.4458458186,615531.6846936782,40519.71141574641,990328.3358300248,0.0,581353.2548848675
15,0.0,1753990.8841351666,640831.5620474038,10415395.428070195,2631466.1157365264,359717.31346731744,3107756.739719856,947759.3543261843,8541836.47097945,262262.61075404566,2001842.8370158246,3099416.0481644343,2092195.192192911,0.0,20841575.03275743,542241.8919200804,1134843.7848197166,664373.741108551,1247187.0531252634,2411245.693894422,1502806.795273188,2416180.562949211,1731762.929364991,1485992.254715,447579.2687103267,665509.2899233478,1147529.6762994335,6025776.951845803,24668234.142533794,6165203.660494872,298293.6162357794,222750.71113528972,3770828.7363942466,51823.40175081879,127634.45674581654,86243.8846106164,85062.32406517828,2144168.189364625,9826542.33982003,1284725.2878454726,5569928.012453836,3182680.226882326,5199175.2287856415,1494288.8857990028,959853.7436846053,27733.51997042253,98563.74296170338,0.0,384650.8287667629
20,0.0,2155927.960942345,1231720.0259995617,16821286.803631525,4123353.1642538835,1131668.7602507449,4469291.153388648,1361786.7891519512,20406874.94525907,634797.8398921277,4417786.02021676,4741196.04341037,3557891.0491357734,0.0,49011456.71265166,931874.4721853726,3312363.581619784,2087218.1378785109,1707044.1423763186,6786962.6560477745,2926409.034224287,4106110.6316506895,2878882.13406633,3110507.934832302,1668889.3653758895,930064.1307794077,2170058.8935003527,7324325.31242913,32531034.69423183,8022906.922320219,649676.101084869,374789.8907860213,5959092.495759685,36084.52908132493,66212.49514101265,137619.07010955102,82556.91882559386,3015543.441141465,11862200.137410682,2936836.868474617,11623844.137036832,5864172.518642175,9374299.117691558,3607125.1659982377,792143.7381697843,33635.27569252514,178347.06753900598,0.0,1094714.0932863217
25,0.0,1392342.566652171,926733.2360740397,10218050.085277004,2480631.9191868138,587169.2236861432,3465585.8143303236,1482194.9604448073,10161924.099721361,284034.1329471698,3911312.977836605,3332121.404705005,3300133.136602978,0.0,29984513.777832087,750624.9485119394,2330606.959698933,1689709.8281181687,1543263.8086931265,4666043.660823803,2045937.8612383935,3590770.032903042,2330946.4808461647,1436216.4111096575,717189.6529151112,621470.5607562558,1365845.5995243257,6983959.210752949,23421274.296840392,6703868.4386827415,574401.1926342471,279883.7259219907,4336177.209817626,52369.14877588569,92547.91498034114,105026.67961065103,72536.68195498566,2319195.2187390886,9149335.985582128,2280266.7773209284,6672361.226367552,4807021.620876461,6515951.780867343,2496174.6870556227,406126.678144121,31696.267494969703,91958.793283177,0.0,557750.6877997017
30,0.0,2162300.2339135106,711898.8205326633,13430887.528687363,2907570.837568706,736339.1661064205,3020886.582676314,1984213.2321406172,10801126.48361007,483097.7409214943,3936660.5860598157,4182044.5952002904,3338825.8778998028,0.0,31730713.54836264,758991.0838357103,1515548.9930653833,1325913.3781948807,1876295.814265583,2316215.3144981344,1651259.9032264631,2810073.5549398367,2573111.8249976044,1424920.2416689515,586178.2788303852,1210470.2258926511,1445929.2476483386,7076636.411719487,22708570.180166136,7688890.529377128,377284.83646616066,215186.81348981484,3720417.1855246187,29148.418785378544,72754.02189783995,158420.8799908012,272333.28555567487,2113557.845683258,10855242.891106995,3493552.949509503,9288096.171443297,3985846.2293569352,7600987.183990434,1678314.5570411643,856098.3410874369,28587.547546875667,145704.5173629345,0.0,776939.7122114686
35,0.0,1797271.8943900072,2579035.7329732473,12933163.03916043,5837272.628751088,615798.5888360513,5240482.124679854,6941851.862474909,15013719.308532698,361141.8396489973,5073466.710475229,3009456.977567814,4121216.9141589524,0.0,49676652.00708204,820942.8125747214,3468528.347543585,1784550.346792468,1402145.0626560024,13367751.671702242,2491667.4099695687,4757582.986345694,2239400.0012269774,1954416.5085315139,4398572.037144651,991794.4828727717,1675183.284240688,7398432.860773008,19683907.445556983,6558388.811849779,675854.0834179989,577214.6019849072,4062581.6896503116,76049.44878338958,155359.726496554,158587.93576039537,53472.54242710046,2058076.9908186246,8670439.99948796,2736470.658870129,8984604.868774883,5263035.530944628,12657955.388981817,3181593.8372893175,487577.58863944013,980094.8040724874,152931.9784471336,0.0,571076.4194935197
40,0.0,603808.5259191975,887356.3290783057,9035613.87744233,1909745.6907792757,651052.9081943841,3656532.930761775,1131992.4401024291,9298828.131065585,237945.24935487198,3455541.8771561896,1936796.1547121974,2640080.3231894807,0.0,26086959.259180043,789371.2474438383,4176891.2310524415,1346563.7668983827,2094827.4455367087,5380990.780223689,1724152.9391103983,3860672.7961326716,2704384.1437384915,1542563.8095441412,1358292.1360507454,326673.7921442018,1644819.8316433642,4019296.2884824136,30162995.32040192,6398868.8318725405,464324.29724820016,221248.47633912705,5399146.270582924,38217.69573093503,87195.73220611943,145882.69163713712,69618.79069444479,2097334.616351074,7923124.058414492,732750.2960276271,5244925.099121307,6037532.86714857,6600480.999227148,2888309.1454592845,358008.7287538211,378844.2782176812,272769.67504642886,0.0,315699.6607986008
45,0.0,1255590.0285570875,1079277.1771729144,11890974.477465376,3234175.6695214976,690377.0972464947,3551172.4998122444,1687969.03360851,11751555.860508548,358313.6156140192,3760253.4896927536,2760572.1595589444,4507171.143890287,0.0,34236273.799760565,1015692.3243547679,3039215.428145262,1943602.9881457079,1809184.92065157,4804564.732183088,2484666.7240711804,4582067.201650616,2865294.775267843,1463488.534887122,823262.1341392177,725445.8197280369,1644278.562294752,8430208.07266884,26815868.169662904,7561054.74057865,791041.896367082,347626.7579187197,5157288.163236571,44576.19927290978,76280.82061113589,126325.38393683548,76612.6080430666,2827137.694196036,10137286.121058851,2293795.8677356155,8473099.737960974,5627789.89408793,7745539.4705825895,2484093.13642149,458095.69425754936,33272.395249656634,134249.40345220373,0.0,529293.0624941916
50,0.0,1073904.769572487,1620394.8682935373,12577494.034394894,3634438.673640642,2248942.0526622217,5143117.763861401,1705914.462917103,14763806.192926247,547583.5485863778,5128295.833221583,6001933.272941539,3247843.899419109,0.0,51566312.76904429,1202111.5544977058,3471730.618005056,2197763.1367143677,1758620.300820695,7177205.701860087,3326716.8509686063,4670334.013630397,1660875.883609857,2951321.3810798563,1142871.802989639,558405.639998625,2165656.8888607663,8047817.188894784,34073920.51533729,8296561.825494467,569356.1116669222,384356.98686002404,6132752.001399304,49084.960286618974,103945.36224261356,124471.72433701834,267843.9388709926,2943303.062633754,10452146.924921315,1838284.3780141273,8725149.99500523,6979282.141281619,17299404.587970167,5715562.587756995,824160.8754083781,31923.793974590404,114736.47179707198,0.0,639221.987487603
55,0.0,2063413.0350182478,572350.9714550365,16088100.023622183,3244437.644034109,982746.36886398,3926877.208668976,1462500.6554105445,10960269.299374659,267092.73457191326,3551247.9199612057,4258973.535617953,2196525.7284061178,0.0,32140700.244186353,665754.8873843824,1826301.7106271146,864888.9814271634,1128602.9163271196,4534237.30934818,1942492.8198041115,3450533.9364992264,2339372.232254349,1928190.9543122982,1237405.9322224688,1598653.1821721145,1438064.6443946215,7386624.711788339,30955716.265324503,7233795.517154203,286858.10526007204,187213.877250951,4325676.530887507,31740.056337752772,150911.8521917604,100015.97421158267,56376.27629853063,2620993.1593836118,12766913.448557215,1316728.393449377,8717987.69159534,3991688.274645038,10155690.645127904,3296763.7873275164,1122402.7681769675,31004.393416273193,1502576.958944904,0.0,574470.4404713665
