,Date,TR.WasteRecycledTotal,TR.TotalAssetsActual,TR.F.PPENetTot,TR.TotalRenewableEnergy,TR.InventoryActValue,TR.TotalDebtActValue,TR.CO2EquivalentEmissionIndirectScope2Locationbased,TR.CO2IndirectScope2,TR.GoodwillActValue,TR.SGandAExpActual,TR.WasteTotal,TR.F.OpExpn,TR.F.GrossProfMarg,TR.NumberofEmployees,TR.EnergyUseTotal,TR.CurrentAssetsActValue,TR.CapexActValue,TR.F.GrossProfIndPropTot,TR.GPMActValue,TR.NWCActValue,TR.CurrentLiabilitiesActValue,TR.GrossIncomeActValue,TR.CO2DirectScope1,TR.F.AcctRcvblTurnover,TR.RenewEnergyProduced,TR.SupplierEnvironmentalCommitment,TR.SupplierEnvironmentalDueDiligence,TR.SupplierEnvironmentalPolicyTraining,TR.SupplierEnvironmentalRiskAssessment,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyWaste,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicyLocalSourcing,TR.PolicyResourceEfficiency,TR.PolicySustainablePackaging,TR.FindingsfromSupplierMonitoring,TR.ClimateCommitment,TR.F.IntangGrossTot,TR.F.InvntTurnover,TR.RenewEnergyPurchased,TR.F.RcvblTot,TR.EnergyUseIndirect,TR.GICSSectorCode,TR.HQCountryCode
10,0.0,4819481.35257413,4039729.9449724765,41347800.77616373,5384436.116200381,9736506.077882769,6458338.039566281,8682940.676580537,39973746.98713855,8926522.830781175,7961989.869175581,7489949.131668243,5575418.704821873,480123.843003977,99059786.96526006,5077664.5255216705,5561101.823539126,3197619.379079761,9301016.223500276,16034381.31948658,4156437.035727486,6118949.279559668,9428041.749012277,4882701.774849759,1144421.8430772182,2516318.585814432,8177904.081584914,15661053.664606757,37268519.57507595,13485538.654540818,1433517.4289573734,2551559.0309062367,10149894.049395332,77450.95061311363,253487.85339766054,594782.0529878156,90380.48953837952,13415591.035845121,14109501.907173907,2162607.953573881,41806151.35029816,3925451.1802524175,9527338.158085357,8796383.415697888,4624103.8844664,18983.679610075396,240448.70219698813,0.0,0.0
15,0.0,3794694.5458475547,2525471.415422989,21543511.028290655,4268329.929608788,4441955.544935387,3745321.9361221595,3567474.110588959,21493769.801116925,4127783.488595884,3547947.996437847,5299717.394910961,2314589.2926200847,182856.63369118643,43362951.88571335,2673630.3983347053,2086463.044378021,1352780.4188719867,4738916.9421150545,4735329.679641888,1935524.6870593831,3682302.347647814,3891390.253778921,2253798.0700414153,632243.7373305614,1831106.4127703747,5669079.340329181,13075616.039360072,24262425.75057352,8475411.43139284,916588.1683157132,626854.8466012825,7539746.256146466,97723.01730397082,241099.22676986872,125186.34941327469,71125.66659362866,5612093.431165293,8289629.675620258,1266111.2265002762,25915242.534943596,1516031.4011959843,2883174.080942514,2454505.002948308,3121234.296583845,14589.356793967348,65688.34577214457,0.0,0.0
20,0.0,9008090.878454335,6355372.234814015,71362162.96234114,7292057.161865882,11099921.71331001,7164125.402636141,6185549.335131117,72608905.95803416,7868449.935044517,7513157.331224077,9082149.374628518,5908682.240620325,568688.2432420695,142159551.74467683,6341503.05242382,4917815.241656175,7264266.553259257,7927203.695026332,7681486.965787666,4221353.0696866745,6859479.7287341645,10981563.60050383,6542367.865463236,2482898.1097280434,3123983.2877695984,9278729.489637757,16302371.6934504,35173195.81320239,13484533.263597835,1799180.3409533096,1855239.627670213,10987166.512488648,118918.37814974113,290130.75714020303,871318.9285880458,383473.98752377415,10101178.230984608,13019191.578288425,3763137.2668470456,35884110.59653795,4987609.684936993,6862539.688282015,8769553.658341583,6100933.724376123,17219.793664673838,341931.83315875736,0.0,0.0
25,0.0,3956064.830994204,4067670.2915936075,42176132.28769311,3918033.37445978,5351202.396084426,5927997.576405908,4752096.27392969,33012173.011537228,6212721.081255523,5451386.046876896,5775004.07817829,5432128.156476731,229864.17323414926,72075160.0191138,4871184.656453264,3804536.386752582,2858179.795184402,7315890.016686306,6976800.476681903,3485139.480455708,5893136.174754136,7960175.379720964,4773225.441606384,1147620.075391789,1799541.3848453625,8769740.0540649,14260827.50793143,28311433.576772135,10600101.575406048,1588582.0876646063,1731430.5841925004,8769488.66983776,109340.82491792686,182924.87454273063,414051.1191879621,116543.58693723749,7658317.355489692,9366962.422900429,2125883.2874705773,26547739.49056838,3388568.6980131865,5345328.941634175,4894739.5916173505,3577824.0525437705,13182.933005744197,210642.10711080433,0.0,0.0
30,0.0,7576715.360950281,3756409.098379376,40158798.61252595,5964440.375924181,7617654.227587515,3977566.7610414703,3568704.5495913047,40869097.95576023,5951156.80025787,5653058.273538365,8001963.458473231,3902685.9434911604,208001.49517619782,93428078.81372632,4218479.374601303,3537868.901686683,3466938.5086134537,6813780.35192662,4724796.049334803,2866495.212371534,5008636.584199109,7623907.022214174,3861878.900439639,1292893.100984687,3586973.131748754,7197458.356144149,14259109.990501298,25737239.849373948,11779987.55878863,1400654.4025431492,490145.15431308554,8597784.574749334,68005.49226791794,79149.05564201732,389592.60173220263,4316366.473594655,6626640.4877589,9531945.291212387,4501705.568916817,25214158.76198806,2607138.7423807858,5591752.800406103,4333797.180458944,5709011.858049286,13975.211554687072,211114.98281178254,0.0,0.0
35,0.0,7284620.984958069,3522154.0903879465,72437835.81760152,6866794.648825197,7497705.837607644,7601073.508727367,9396147.428656392,55409615.95610967,7947795.336655226,7571266.860702749,6451337.409434205,11426275.254827278,224923.35444648325,142452289.32840213,6564807.820814402,5551468.193215289,2771621.2380190156,6462463.734061702,21529406.855771396,3917457.501707193,6682063.741079998,10062560.728842732,8672097.198805507,5660754.219089022,2493679.8402202684,7475459.27235592,15685559.334131697,26522141.028391555,13983853.427367521,1228615.0604557034,2875868.046330855,8508924.757220495,179816.19762744216,506973.8870848323,765380.9486735328,300256.5801211739,7319528.846049937,9437686.36286785,3703554.118833138,23344394.204867724,4410110.901170914,14194122.577158289,7453694.2300052885,5090968.562818627,416906.5764227084,261479.90387283312,0.0,0.0
40,0.0,4183559.4474268737,2702191.8527820488,38701724.204192325,3117468.3707893956,6827932.433132087,4738442.292080767,7224126.669942399,31547008.47720414,6349692.152085147,7597939.578173049,4931228.4623545855,5213642.167541356,994852.7112850107,64537992.59273459,6724429.722797757,6574049.571901679,3162466.805387238,8413963.638030501,10552031.205137413,2652335.5159456083,5597772.440302013,11049247.442699024,3735245.1236669207,2183362.5035854205,1491107.6201474476,5954541.296443008,9906826.703581797,27829759.1659173,10869890.530903684,1257106.334309298,1345953.455237351,6809325.481121763,123744.37394149657,235154.24387864774,1196442.8411070672,80835.58166840299,11064822.015120428,10200798.675664924,1772590.9629995057,34617710.12276505,4177186.482921445,6068047.703780136,7870702.67088578,3627209.7282087966,276745.1413371714,119014.22257013977,0.0,0.0
45,0.0,4555508.405650992,5402422.154846582,51077676.64957511,4728586.468008562,6876039.23873187,6626339.715266259,6514255.957685697,42201092.64512027,6948694.10042518,6623543.607596064,6582812.323004051,8019325.834958388,211718.6146749208,95375884.94201331,7512152.9514865,4076896.066781027,3205203.3698464828,9861652.940878613,11308183.687603205,3744677.9595261747,6874349.194787014,9885247.294624088,7367383.949388142,1068405.846525224,2206501.6537819514,9381929.09134654,17196612.438314967,35201816.536809,15339411.948898936,1540565.8919544322,1605354.366597989,11573897.720058953,113381.77547864772,537161.8756551177,578774.215152414,177458.53679658697,10004935.682621993,11370520.097144939,2234530.6283959034,32861308.3689915,4622920.913770616,7545168.338340984,6263882.696116154,4629675.801680354,11554.167366902937,182850.59591617057,0.0,0.0
50,0.0,5528312.585733805,5051591.826225049,54002545.973381296,5565189.848622721,8172720.267963508,8238079.869572675,6560541.232928877,47236271.571513385,8467939.148473177,8608232.825954333,7640495.530454253,7402031.368396206,190003.6888600729,121852051.28218806,6940037.352406192,4645285.75189776,3273327.3207345568,9339016.493181853,15075586.11176682,3867043.282733251,6559333.147022645,7704823.2790965745,10127377.060946798,1046222.2574496306,1931840.6300954332,8780972.727432653,19846283.944367994,38778275.94984163,15644785.7204221,2325940.609466633,1636773.6841165558,13024751.817100003,147025.0415092092,950009.9732146597,827475.4912534478,684093.9993740874,9260214.516815927,11608429.470233578,2200715.916296218,37457015.799644314,4687296.384078797,15200017.44003252,10728931.799690403,5762255.919842352,21058.25546668185,193795.38486662947,0.0,0.0
55,0.0,3839669.92148141,1946004.552333748,29006215.871621344,4524479.060797448,5985744.048119607,3592862.2810055977,5048514.792601764,25625856.74295579,6031522.980003099,4461650.309735544,5508684.934470625,2104631.492260051,288783.0816540046,61413482.38969296,4141636.517909086,2976372.58464863,1759345.49687136,4675686.533158115,7138020.57148987,1535653.975740409,4569890.684008335,5665961.399256513,2754169.5501760473,1691679.2492102839,3462706.332109049,5288231.791927935,13954619.34087684,27768282.623740893,11433222.684506262,846818.3824816778,498669.0340544581,7973727.10252969,39301.36249125737,100273.26638490023,206334.14402657576,72816.54286445824,8313432.869691275,10132404.644636683,1719661.5758386706,31379119.711178616,1881038.4369319296,6861795.557982513,5833554.771382533,4870951.019885826,16432.65226442488,711084.5570439212,0.0,0.0
