,Date,TR.F.PPENetTot,TR.CO2IndirectScope2,TR.F.OpExpn,TR.F.GrossProfMarg,TR.F.GrossProfIndPropTot,TR.CO2DirectScope1,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicySustainablePackaging,TR.GICSSectorCode,TR.HQCountryCode
60,0.032977839282567596,0.19205322167017536,0.11326493616990642,0.29020573598467586,0.267453237703411,0.3425798024509184,0.18534814053666723,0.0,0.03119554496085946,0.0024296224315516696,0.00802913172066216,0.041304605869697364,0.0,0.006453470499059472,0.0,0.0
All,0.0329778392825676,0.1920532216701754,0.11326493616990642,0.29020573598467586,0.267453237703411,0.3425798024509184,0.18534814053666718,0.0,0.03119554496085946,0.00242962243155167,0.00802913172066216,0.04130460586969736,0.0,0.006453470499059471,0.0,0.0
