,Date,TR.TotalAssetsActual,TR.F.PPENetTot,TR.InventoryActValue,TR.CO2IndirectScope2,TR.F.OpExpn,TR.F.GrossProfMarg,TR.NumberofEmployees,TR.EnergyUseTotal,TR.CurrentAssetsActValue,TR.CapexActValue,TR.F.GrossProfIndPropTot,TR.GPMActValue,TR.CurrentLiabilitiesActValue,TR.GrossIncomeActValue,TR.CO2DirectScope1,TR.F.AcctRcvblTurnover,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicySustainablePackaging,TR.F.InvntTurnover,TR.GICSSectorCode,TR.HQCountryCode
35,0.024048385604100764,0.09201175642719302,0.10031972363275457,0.09309672256681514,0.15995385326795694,0.18966633674825975,0.04873051138964451,0.16672100682901136,0.10136818786673785,0.10961712611112717,0.10590961405195587,0.12496001592976,0.05870755914185065,0.18372490642454542,0.15264929383189985,0.2002383561664567,0.07948757255663846,0.02690156186855855,0.021482912343913058,0.0025879829337310356,0.002111217047931482,0.017881800092792114,0.001373522302074017,0.0890106692259657,0.04117753139440988,0.0,0.0
All,0.02404838560410076,0.09201175642719302,0.10031972363275457,0.09309672256681514,0.15995385326795694,0.18966633674825975,0.04873051138964451,0.16672100682901134,0.10136818786673783,0.10961712611112717,0.10590961405195588,0.12496001592976,0.05870755914185065,0.18372490642454542,0.15264929383189985,0.2002383561664567,0.07948757255663846,0.02690156186855855,0.021482912343913058,0.0025879829337310356,0.002111217047931482,0.017881800092792118,0.0013735223020740167,0.0890106692259657,0.04117753139440988,0.0,0.0
