,Date,TR.TotalAssetsActual,TR.F.PPENetTot,TR.InventoryActValue,TR.CO2IndirectScope2,TR.F.OpExpn,TR.F.GrossProfMarg,TR.NumberofEmployees,TR.CurrentAssetsActValue,TR.CapexActValue,TR.F.GrossProfIndPropTot,TR.GPMActValue,TR.CurrentLiabilitiesActValue,TR.GrossIncomeActValue,TR.CO2DirectScope1,TR.F.AcctRcvblTurnover,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicySustainablePackaging,TR.F.InvntTurnover,TR.GICSSectorCode,TR.HQCountryCode
25,0.040797191134235765,0.06072649757483699,0.20736800460102583,0.08656721217454239,0.21135377982455544,0.23102880251033994,0.10898462682662179,0.07011501683836154,0.09927420413373898,0.13198628245359942,0.15955338241949252,0.056720130190241615,0.05213926335032869,0.09444730114034025,0.28725003230579604,0.08770190809255475,0.0841545376862,0.030371079124360163,0.0004781743848082632,0.0008353426897814054,0.0014769504717501067,0.0021683694766234944,0.038946437071227226,0.08641239273478772,0.0,0.014199446075636132
All,0.040797191134235765,0.06072649757483699,0.20736800460102583,0.08656721217454239,0.21135377982455544,0.23102880251033994,0.10898462682662181,0.07011501683836155,0.09927420413373898,0.13198628245359945,0.1595533824194925,0.056720130190241615,0.05213926335032869,0.09444730114034025,0.287250032305796,0.08770190809255475,0.0841545376862,0.030371079124360163,0.0004781743848082632,0.0008353426897814056,0.0014769504717501065,0.0021683694766234944,0.03894643707122722,0.08641239273478772,0.0,0.01419944607563613
