,Date,TR.TotalAssetsActual,TR.F.PPENetTot,TR.CO2IndirectScope2,TR.F.OpExpn,TR.F.GrossProfMarg,TR.NumberofEmployees,TR.EnergyUseTotal,TR.CurrentAssetsActValue,TR.CapexActValue,TR.F.GrossProfIndPropTot,TR.CurrentLiabilitiesActValue,TR.CO2DirectScope1,TR.F.AcctRcvblTurnover,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicySustainablePackaging,TR.GICSSectorCode,TR.HQCountryCode
20,0.042670617602535925,0.07087617775037505,0.0574658882485715,0.3377555835375171,0.3081677584151829,0.08820780376063522,0.1450308874291944,0.09734071484447716,0.16163935132078341,0.07953457415694225,0.07530209399568343,0.08205104816477411,0.1901333938888462,0.11574385622438671,0.014153112416329206,0.050905761739221816,0.0014380321933169299,0.000654793894825678,0.05208583939442342,0.00019166516951282862,0.14122958037552577,0.0,0.048505490778618425
All,0.042670617602535925,0.07087617775037505,0.0574658882485715,0.3377555835375172,0.30816775841518296,0.08820780376063522,0.14503088742919434,0.09734071484447716,0.16163935132078341,0.07953457415694228,0.07530209399568344,0.0820510481647741,0.19013339388884615,0.11574385622438671,0.014153112416329206,0.0509057617392218,0.0014380321933169299,0.000654793894825678,0.052085839394423405,0.00019166516951282862,0.14122958037552577,0.0,0.04850549077861842
