,Date,TR.TotalAssetsActual,TR.F.PPENetTot,TR.InventoryActValue,TR.CO2IndirectScope2,TR.WasteTotal,TR.F.OpExpn,TR.F.GrossProfMarg,TR.EnergyUseTotal,TR.CurrentAssetsActValue,TR.CapexActValue,TR.F.GrossProfIndPropTot,TR.CurrentLiabilitiesActValue,TR.GrossIncomeActValue,TR.CO2DirectScope1,TR.F.AcctRcvblTurnover,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicySustainablePackaging,TR.F.InvntTurnover,TR.GICSSectorCode,TR.HQCountryCode
15,0.01932080239596117,0.06292621755905534,0.053417518287561666,0.11211771603347669,0.13824761792188453,0.07373123931740876,0.22876049175031993,0.09309761331956588,0.08104914809903589,0.0693631698658997,0.02846907099155352,0.08612401413926456,0.1006350804590625,0.08565649213235975,0.05701801823129734,0.04914334648782515,0.01692255733917794,0.006343401932384572,0.0010012781896935436,0.0008242801348903869,0.005902176039181889,0.0015474589578268704,0.04478771521609727,0.04551966399275291,0.0,0.0
All,0.019320802395961175,0.06292621755905534,0.053417518287561666,0.11211771603347669,0.1382476179218845,0.07373123931740876,0.22876049175031993,0.09309761331956587,0.08104914809903589,0.0693631698658997,0.028469070991553515,0.08612401413926454,0.1006350804590625,0.08565649213235976,0.05701801823129734,0.04914334648782515,0.016922557339177937,0.006343401932384572,0.0010012781896935438,0.000824280134890387,0.00590217603918189,0.0015474589578268704,0.04478771521609727,0.04551966399275291,0.0,0.0
