,Date,TR.TotalAssetsActual,TR.F.PPENetTot,TR.CO2IndirectScope2,TR.F.OpExpn,TR.F.GrossProfMarg,TR.NumberofEmployees,TR.CurrentAssetsActValue,TR.CapexActValue,TR.F.GrossProfIndPropTot,TR.CurrentLiabilitiesActValue,TR.CO2DirectScope1,TR.F.AcctRcvblTurnover,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicySustainablePackaging,TR.F.InvntTurnover,TR.GICSSectorCode,TR.HQCountryCode
55,0.041941075584364634,0.1595149945535892,0.3457734535852102,0.16713336040871712,0.21057975279499105,0.08357539447947884,0.24470926465187595,0.06886799897588096,0.09855643398120861,0.13625854495008669,0.11179843467821574,0.10852044437198292,0.07505202033498588,0.0042338217444179245,0.005231061948455369,0.00025303093139034273,0.0032472170495881224,0.007611285559671454,0.00034351923521463323,0.004114641353232988,0.09135536347945303,0.0,0.0
All,0.041941075584364634,0.1595149945535892,0.34577345358521017,0.16713336040871712,0.21057975279499105,0.08357539447947884,0.244709264651876,0.06886799897588096,0.09855643398120863,0.13625854495008666,0.11179843467821576,0.10852044437198294,0.07505202033498588,0.0042338217444179245,0.00523106194845537,0.0002530309313903427,0.0032472170495881224,0.007611285559671454,0.00034351923521463323,0.0041146413532329885,0.09135536347945303,0.0,0.0
