,model_name,fold,sector,rmse,mae,r2
0,catboost_baseline,1,All,2.217174656801912,1.4504158379068508,0.6019668535585734
1,catboost_baseline,1,10,3.1224159777891654,2.3200874441000177,0.5757033036787629
2,catboost_baseline,1,15,1.229110962908306,0.8810828856987023,0.5027757027355053
3,catboost_baseline,1,20,1.371077186538368,0.9703207682151344,0.6146327720009094
4,catboost_baseline,1,25,2.5211440478977423,1.627585812604344,0.4262153956776725
5,catboost_baseline,1,30,2.030095589260804,1.3476762814107694,0.3932937816838562
6,catboost_baseline,1,35,1.6805668496152788,1.0707506799433004,0.6952899747323613
7,catboost_baseline,1,40,2.6381267671610713,2.0472968521526047,0.30439890880859144
8,catboost_baseline,1,45,2.445282682795549,1.3651281897644365,0.47605139756685677
9,catboost_baseline,1,50,2.3088416659850104,1.4457362271691625,0.36951648123049396
10,catboost_baseline,1,55,3.7269944219484157,2.287589875207266,-0.030380971517432576
11,catboost_baseline,1,60,1.9125357947690955,1.5394012571276474,0.5217548496504115
12,catboost_baseline,2,All,2.238098017213458,1.4040723617396973,0.562496319319489
13,catboost_baseline,2,10,3.1046943833435336,1.7124032933583984,-0.005865718068632564
14,catboost_baseline,2,15,1.084983903203631,0.8633626815214757,0.5040753594980389
15,catboost_baseline,2,20,2.4629499661928915,1.4377729306253675,0.3158922001770197
16,catboost_baseline,2,25,2.2032598910499943,1.2457129242472296,0.4471282333643285
17,catboost_baseline,2,30,2.0381737418493473,1.3406848009904995,0.501046475929717
18,catboost_baseline,2,35,1.7819756227428376,0.9717889525821755,0.6097900339583606
19,catboost_baseline,2,40,2.6441359389937253,1.930510072125684,0.30000000084306544
20,catboost_baseline,2,45,2.1293968803182715,1.4162012610151355,0.449378582752858
21,catboost_baseline,2,50,1.7426904627257105,1.2589195202141736,0.32056387687972154
22,catboost_baseline,2,55,3.5470330420569707,2.3514580113933574,0.23444630458932436
23,catboost_baseline,2,60,2.0919802504911003,1.5259479480139815,0.5776990870534306
24,catboost_baseline,3,All,2.049848850536081,1.3542294935609351,0.6434390340209228
25,catboost_baseline,3,10,1.7252340111769686,1.3325533993481726,0.4107854225436418
26,catboost_baseline,3,15,2.2540056305641434,1.1832068371690367,0.46913754574049116
27,catboost_baseline,3,20,2.107183450371654,1.366145278180549,0.43955673425521624
28,catboost_baseline,3,25,1.7508310728544176,1.1939057404545659,0.6229626164706374
29,catboost_baseline,3,30,2.1713316508154388,1.283006390805345,0.47480960556425833
30,catboost_baseline,3,35,1.594083187488775,1.1792294449384528,0.5779031330459765
31,catboost_baseline,3,40,2.5073908420178084,1.9460489036012039,0.41468501550987813
32,catboost_baseline,3,45,1.4158109837924755,0.9475526250026169,0.7222935630145115
33,catboost_baseline,3,50,1.668349734212461,1.17700812588755,0.6558858383833179
34,catboost_baseline,3,55,1.9741094034008955,1.6631260539914645,0.41353630635909433
35,catboost_baseline,3,60,2.6456202198019207,1.788821148950941,0.42305794741544855
36,catboost_baseline,4,All,1.9770476885852257,1.3659072522137763,0.661658315879051
37,catboost_baseline,4,10,3.0895694922910857,2.107646815864049,0.3525432719372439
38,catboost_baseline,4,15,1.2586124494310131,0.9204163223858077,0.4201509053504596
39,catboost_baseline,4,20,1.8176383750422243,1.1831399371615088,0.4505277177783267
40,catboost_baseline,4,25,1.541611090084392,1.1063725035275294,0.6484100206949792
41,catboost_baseline,4,30,1.6279730025875703,1.2939456374008886,0.35137970759039516
42,catboost_baseline,4,35,1.8047583517034136,1.120941981276771,0.6069321708355921
43,catboost_baseline,4,40,2.4747053189564703,2.033956766846822,0.3547295052883359
44,catboost_baseline,4,45,1.9947719262991042,1.416574571139074,0.590668951279011
45,catboost_baseline,4,50,2.4891494958411062,1.5788812005196942,0.41130367550657465
46,catboost_baseline,4,55,2.5321154300272153,1.4840107473469244,0.3241371097063003
47,catboost_baseline,4,60,2.1299154891014758,1.5697258844244946,0.4599269343099459
48,catboost_baseline,5,All,1.9631788983710823,1.38801228890351,0.6379247979827891
49,catboost_baseline,5,10,2.0155231884401714,1.2918908183168025,0.5085493912193686
50,catboost_baseline,5,15,1.3540709988739166,1.0809791623913458,0.49681104622602723
51,catboost_baseline,5,20,1.7368041886239596,1.2174355499090606,0.5471165808540085
52,catboost_baseline,5,25,1.592262705327998,1.05372332985147,0.4345682537048936
53,catboost_baseline,5,30,2.268522619333898,1.3609538266396193,0.2618104934194194
54,catboost_baseline,5,35,1.2978839165061793,0.8989304507445908,0.7427256663597014
55,catboost_baseline,5,40,2.5792484716963378,2.0794382917046055,0.15517361642509586
56,catboost_baseline,5,45,1.884906398934618,1.3413519619322498,0.6354556059907468
57,catboost_baseline,5,50,1.8159599421865888,1.5249904945750334,0.5771252029627812
58,catboost_baseline,5,55,2.490355210036209,1.8756923432901764,0.43354926755414436
59,catboost_baseline,5,60,2.754889098481849,1.8920597150592606,0.2452495898306516
