,Date,TR.F.PPENetTot,TR.CO2IndirectScope2,TR.F.OpExpn,TR.F.GrossProfMarg,TR.F.GrossProfIndPropTot,TR.CO2DirectScope1,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicySustainablePackaging,TR.GICSSectorCode,TR.HQCountryCode
60,0.022074791345089464,0.2702249805422489,0.16495113637171724,0.37648312228240155,0.3329537406916884,0.44075032524842706,0.15922907730728791,0.0,0.058741832449664674,0.0035658317037996117,0.01505958871083822,0.06863035408237633,0.0,0.006375964139737994,0.0,0.05328192990782285
All,0.022074791345089464,0.2702249805422489,0.16495113637171718,0.37648312228240166,0.3329537406916884,0.44075032524842694,0.15922907730728797,0.0,0.05874183244966468,0.0035658317037996112,0.015059588710838217,0.06863035408237633,0.0,0.006375964139737994,0.0,0.05328192990782285
