,Date,TR.TotalAssetsActual,TR.F.PPENetTot,TR.CO2IndirectScope2,TR.F.OpExpn,TR.F.GrossProfMarg,TR.CurrentAssetsActValue,TR.CapexActValue,TR.F.GrossProfIndPropTot,TR.CurrentLiabilitiesActValue,TR.CO2DirectScope1,TR.F.AcctRcvblTurnover,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicySustainablePackaging,TR.GICSSectorCode,TR.HQCountryCode
50,0.09303722647261052,0.20628719554017175,0.09288294426380121,0.30508059638925494,0.3304322790617779,0.0512942173316423,0.10737326266490031,0.14181240343620125,0.2633346108245139,0.20300122263763867,0.18501345525177046,0.1237275982743849,0.05080331400319068,0.03889103793292494,0.0033085885817708428,0.0014844983653492742,0.014979389302074275,0.0034002607852812584,0.036989025151764846,0.0,0.2824540084673939
All,0.09303722647261052,0.20628719554017175,0.09288294426380121,0.30508059638925494,0.3304322790617779,0.05129421733164231,0.10737326266490033,0.14181240343620122,0.2633346108245139,0.20300122263763865,0.18501345525177046,0.1237275982743849,0.050803314003190686,0.03889103793292494,0.0033085885817708423,0.0014844983653492742,0.014979389302074273,0.003400260785281259,0.03698902515176484,0.0,0.28245400846739394
