,Instrument,Date,TR.UpstreamScope3PurchasedGoodsAndServices
3,SCATC.OL,2019,1630.0
4,SCATC.OL,2020,2036.0
5,SCATC.OL,2021,2643.0
6,SCATC.OL,2022,6990.0
7,SCATC.OL,2023,14272.0
8,SCATC.OL,2024,5465.0
16,MNTC.ST,2023,200.95
17,MNTC.ST,2024,46.174
25,TSCO.L,2023,38453200.0
26,TSCO.L,2024,529470.0
30,2881.TW,2019,37872.0
31,2881.TW,2020,39384.0
32,2881.TW,2021,35310.0
33,2881.TW,2022,39350.0
34,2881.TW,2023,48427.0
35,2881.TW,2024,48729.0
42,TATA.NS,2022,63183.0
43,TATA.NS,2023,73442.0
44,TATA.NS,2024,84039.0
51,8425.T,2022,108410.0
52,8425.T,2023,174226.0
53,8425.T,2024,130073.0
59,035420.KS,2021,70791.0
60,035420.KS,2022,83826.0
61,035420.KS,2023,61348.0
62,035420.KS,2024,93271.214
69,4928.T,2022,65054.325
70,4928.T,2023,62622.56
71,4928.T,2024,66107.664
78,6121.TWO,2022,236875.0
79,6121.TWO,2023,261635.0
80,6121.TWO,2024,341940.0
87,SG.N,2022,3664.0
88,SG.N,2023,67677.0
94,CLNX.MC,2020,37138.0
95,CLNX.MC,2021,31963.0
96,CLNX.MC,2022,32724.0
97,CLNX.MC,2023,43860.11
98,CLNX.MC,2024,66419.0
101,OCEJ.J,2018,23605.0
102,OCEJ.J,2019,24562.0
103,OCEJ.J,2020,22058.0
104,OCEJ.J,2021,19729.0
105,OCEJ.J,2022,23110.0
106,OCEJ.J,2023,21699.0
107,OCEJ.J,2024,17829.0
114,6674.T,2022,471173.0
115,6674.T,2023,523813.0
116,6674.T,2024,560749.0
122,4502.T,2021,3710000.0
123,4502.T,2022,4070000.0
124,4502.T,2023,4060000.0
125,4502.T,2024,2689000.0
133,ARE.TO,2023,468973.0
134,ARE.TO,2024,484151.0
139,WOSG.L,2020,85350.0
140,WOSG.L,2021,227397.0
141,WOSG.L,2022,133335.0
142,WOSG.L,2023,134561.0
143,WOSG.L,2024,129126.0
148,PANW.OQ,2020,153415.0
149,PANW.OQ,2021,157937.0
150,PANW.OQ,2022,185254.0
151,PANW.OQ,2023,208724.0
152,PANW.OQ,2024,183836.0
158,066570.KS,2021,2965535.0
159,066570.KS,2022,2735782.0
160,066570.KS,2023,2712121.0
161,066570.KS,2024,2468350.0
168,WAWI.OL,2022,204022.0
169,WAWI.OL,2023,199028.0
170,WAWI.OL,2024,219688.0
175,MYTr.AT,2020,1116996.8
176,MYTr.AT,2021,1074601.8
177,MYTr.AT,2022,1688761.3
178,MYTr.AT,2023,1465664.3
179,MYTr.AT,2024,1262638.5
184,FG.ST,2020,97556.0
185,FG.ST,2021,129955.0
186,FG.ST,2022,210849.0
187,FG.ST,2023,52162.0
188,FG.ST,2024,66755.0
195,VBBR3.SA,2022,15338069.0
196,VBBR3.SA,2023,16794833.0
197,VBBR3.SA,2024,17019120.0
204,SGXL.SI,2022,688.0
205,SGXL.SI,2023,560.0
206,SGXL.SI,2024,650.0
211,HEIN.AS,2020,11402000.0
212,HEIN.AS,2021,12924000.0
213,HEIN.AS,2022,11667000.0
214,HEIN.AS,2023,10366000.0
215,HEIN.AS,2024,10188000.0
222,NTES.OQ,2022,7527.0
223,NTES.OQ,2023,6037.0
224,NTES.OQ,2024,5541.0
229,NDAQ.OQ,2020,38795.0
230,NDAQ.OQ,2021,68340.0
231,NDAQ.OQ,2022,59249.0
232,NDAQ.OQ,2023,60202.0
233,NDAQ.OQ,2024,58245.0
237,LREN3.SA,2019,322965.2
238,LREN3.SA,2020,274566.0
239,LREN3.SA,2021,298432.6
240,LREN3.SA,2022,298365.7
241,LREN3.SA,2023,282556.4
242,LREN3.SA,2024,315375.33
247,GLV.I,2020,25880.0
248,GLV.I,2021,122628.0
249,GLV.I,2022,157724.0
250,GLV.I,2023,153744.0
251,GLV.I,2024,234184.0
258,PROT.OL,2022,388.0
259,PROT.OL,2023,863.0
260,PROT.OL,2024,4702.0
265,HUM.N,2020,439823.0
266,HUM.N,2021,4793751.0
267,HUM.N,2022,6175405.0
268,HUM.N,2023,5566108.0
269,HUM.N,2024,6897449.0
276,MYCR.ST,2022,18153.0
277,MYCR.ST,2023,11551.0
278,MYCR.ST,2024,15055.0
285,6807.T,2022,810000.0
286,6807.T,2023,740000.0
287,6807.T,2024,750000.0
293,QNBE.CA,2021,1503.0
294,QNBE.CA,2022,327.67
295,QNBE.CA,2023,457.4
303,SQZ.L,2022,22167.0
304,SQZ.L,2023,13468.0
305,SQZ.L,2024,7860.0
311,AG.TO,2021,156025.0
312,AG.TO,2022,284499.0
313,AG.TO,2023,209662.0
314,AG.TO,2024,86119.0
321,5332.T,2022,750000.0
322,5332.T,2023,751000.0
323,5332.T,2024,619000.0
330,MCG.L,2022,221783.0
331,MCG.L,2023,138835.0
332,MCG.L,2024,86244.0
337,WY.N,2020,600000.0
338,WY.N,2021,600000.0
339,WY.N,2022,600000.0
340,WY.N,2023,600000.0
341,WY.N,2024,500000.0
344,INF.L,2018,163567.0
345,INF.L,2019,169230.0
346,INF.L,2020,132389.0
347,INF.L,2021,139369.0
348,INF.L,2022,158916.0
349,INF.L,2023,201123.0
350,INF.L,2024,234680.0
356,VET.TO,2021,24321.0
357,VET.TO,2022,78047.0
358,VET.TO,2023,45881.0
368,MMS.AX,2024,535.26
375,688063.SS,2022,155308.85
376,688063.SS,2023,63472.08
377,688063.SS,2024,91140.77
385,SFM.OQ,2023,1402000.0
392,NOLAb.ST,2021,321842.0
393,NOLAb.ST,2022,274547.0
394,NOLAb.ST,2023,244022.0
395,NOLAb.ST,2024,229694.0
403,029780.KS,2023,508.0
404,029780.KS,2024,373.0
409,NELLY.ST,2020,20459.0
410,NELLY.ST,2021,23191.0
411,NELLY.ST,2022,18132.0
412,NELLY.ST,2023,12982.0
413,NELLY.ST,2024,14704.0
417,INVP.L,2019,380.0
419,INVP.L,2021,38.0
420,INVP.L,2022,36.0
421,INVP.L,2023,60.0
422,INVP.L,2024,30.0
427,TMO.N,2020,5643961.0
428,TMO.N,2021,7474726.0
429,TMO.N,2022,7104084.0
430,TMO.N,2023,6295138.0
431,TMO.N,2024,4893687.0
439,ARBNO.S,2023,98644.0
440,ARBNO.S,2024,127362.0
446,TDMS.KL,2021,529901.0
447,TDMS.KL,2022,637613.0
456,GAMA.L,2022,33448.0
457,GAMA.L,2023,39699.78
458,GAMA.L,2024,34102.39
464,TT.N,2021,34565483.0
465,TT.N,2022,5000000.0
466,TT.N,2023,5000000.0
467,TT.N,2024,4000000.0
473,IGD.MI,2021,10348.0
474,IGD.MI,2022,7958.0
475,IGD.MI,2023,6705.0
476,IGD.MI,2024,7449.0
480,KSP.I,2019,4302620.0
481,KSP.I,2020,7956323.0
482,KSP.I,2021,8163984.0
483,KSP.I,2022,7114105.0
484,KSP.I,2023,6503611.0
485,KSP.I,2024,6315645.0
491,RENA.PA,2021,10891636.0
492,RENA.PA,2022,15135987.0
493,RENA.PA,2023,16502714.0
494,RENA.PA,2024,16310804.0
500,9505.T,2021,200000.0
501,9505.T,2022,210000.0
502,9505.T,2023,200000.0
508,8129.T,2020,1570141.0
509,8129.T,2021,1467736.0
510,8129.T,2022,2174178.0
511,8129.T,2023,2344474.0
512,8129.T,2024,2086402.0
516,GJFG.OL,2019,41066.0
517,GJFG.OL,2020,34136.0
518,GJFG.OL,2021,33063.0
519,GJFG.OL,2022,33599.0
520,GJFG.OL,2023,54283.0
521,GJFG.OL,2024,62887.0
526,6754.T,2020,26078.0
527,6754.T,2021,52800.0
528,6754.T,2022,60151.0
529,6754.T,2023,59771.0
530,6754.T,2024,48116.0
536,GPN.N,2021,247886.0
537,GPN.N,2022,313806.0
538,GPN.N,2023,170606.0
539,GPN.N,2024,133768.0
543,GEI.TO,2019,129298.0
544,GEI.TO,2020,423928.0
545,GEI.TO,2021,595310.0
546,GEI.TO,2022,551730.0
547,GEI.TO,2023,444950.0
548,GEI.TO,2024,434848.0
554,AWK.N,2021,101000.0
555,AWK.N,2022,63000.0
556,AWK.N,2023,113000.0
557,AWK.N,2024,130803.0
565,APSE.NS,2023,475391.0
566,APSE.NS,2024,327542.0
571,SFER.MI,2020,142761.0
572,SFER.MI,2021,151247.0
573,SFER.MI,2022,179669.0
574,SFER.MI,2023,103043.0
575,SFER.MI,2024,88032.0
582,7649.T,2022,1562062.0
583,7649.T,2023,1601452.0
584,7649.T,2024,2215043.0
591,036460.KS,2022,12524796.0
592,036460.KS,2023,5807050.0
593,036460.KS,2024,5707736.0
599,AGCO.N,2021,4671012.0
600,AGCO.N,2022,5460383.0
601,AGCO.N,2023,5677222.0
602,AGCO.N,2024,4144215.0
608,NST.AX,2021,126822.0
609,NST.AX,2022,232952.0
610,NST.AX,2023,358413.0
611,NST.AX,2024,342119.0
616,9719.T,2020,259173.0
617,9719.T,2021,250615.0
618,9719.T,2022,231542.0
619,9719.T,2023,281953.0
620,9719.T,2024,305656.0
625,NTUJ.J,2020,85.0
626,NTUJ.J,2021,148.0
627,NTUJ.J,2022,1263852.0
628,NTUJ.J,2023,1376612.0
629,NTUJ.J,2024,151.0
635,LUCEL.L,2021,83623.0
636,LUCEL.L,2022,60900.4
637,LUCEL.L,2023,69248.7
638,LUCEL.L,2024,75498.0
642,HLUNa.CO,2019,99375.0
643,HLUNa.CO,2020,89050.0
644,HLUNa.CO,2021,96656.0
645,HLUNa.CO,2022,95222.0
646,HLUNa.CO,2023,103891.0
647,HLUNa.CO,2024,112491.0
650,2303.TW,2018,651388.0
651,2303.TW,2019,632853.0
652,2303.TW,2020,513850.0
653,2303.TW,2021,598678.0
654,2303.TW,2022,487811.0
655,2303.TW,2023,348431.0
656,2303.TW,2024,656013.0
659,CNR.TO,2018,314304.0
660,CNR.TO,2019,384934.0
663,CNR.TO,2022,164214.0
664,CNR.TO,2023,201636.0
665,CNR.TO,2024,183172.0
669,XYZ.N,2019,33885.0
672,XYZ.N,2022,268389.0
673,XYZ.N,2023,215059.0
679,CPB.OQ,2020,4524315.0
680,CPB.OQ,2021,4195581.0
681,CPB.OQ,2022,4459828.0
682,CPB.OQ,2023,3659338.0
683,CPB.OQ,2024,3428578.0
686,GLEN.L,2018,753000.0
687,GLEN.L,2019,11763000.0
688,GLEN.L,2020,9241000.0
689,GLEN.L,2021,9909000.0
690,GLEN.L,2022,10700000.0
691,GLEN.L,2023,12544000.0
692,GLEN.L,2024,11820000.0
699,ULTC.NS,2022,92220.0
701,ULTC.NS,2024,1030790.0
704,BARC.L,2018,913967.0
707,BARC.L,2021,644441.0
708,BARC.L,2022,638639.0
709,BARC.L,2023,622783.0
710,BARC.L,2024,584811.0
718,CLX.N,2023,1833752.0
719,CLX.N,2024,1987757.0
726,KZAP.KZ,2022,580399.0
727,KZAP.KZ,2023,516773.0
732,CCL.L,2019,5497440.0
736,CCL.L,2023,3941628.0
737,CCL.L,2024,4257000.0
741,SHLG.DE,2019,1517000.0
742,SHLG.DE,2020,1533000.0
743,SHLG.DE,2021,1886000.0
744,SHLG.DE,2022,2326000.0
745,SHLG.DE,2023,2048000.0
746,SHLG.DE,2024,1983000.0
750,SGE.L,2019,92068.3
751,SGE.L,2020,87768.0
752,SGE.L,2021,92613.0
753,SGE.L,2022,88851.0
754,SGE.L,2023,84060.1
755,SGE.L,2024,79527.4
761,GMXT.MX,2021,279656.0
762,GMXT.MX,2022,1077252.0
763,GMXT.MX,2023,286371.0
764,GMXT.MX,2024,370655.0
772,4587.T,2023,70883.0
773,4587.T,2024,65506.0
778,2356.TW,2020,137658.0
779,2356.TW,2021,195876.0
780,2356.TW,2022,170931.0
781,2356.TW,2023,129928.0
782,2356.TW,2024,3158975.0
787,YUMC.N,2020,5345233.0
788,YUMC.N,2021,6366184.0
789,YUMC.N,2022,6194518.0
790,YUMC.N,2023,7753718.0
791,YUMC.N,2024,7676998.5
798,CRFSA.IS,2022,1198429.11
799,CRFSA.IS,2023,1755695.0
804,BAYGn.DE,2019,6620000.0
805,BAYGn.DE,2020,6150000.0
806,BAYGn.DE,2021,6140000.0
807,BAYGn.DE,2022,6940000.0
808,BAYGn.DE,2023,6520000.0
809,BAYGn.DE,2024,5870000.0
813,7735.T,2019,482000.0
814,7735.T,2020,391000.0
815,7735.T,2021,366000.0
816,7735.T,2022,484000.0
817,7735.T,2023,570000.0
818,7735.T,2024,650000.0
823,5406.T,2020,4688000.0
824,5406.T,2021,5547000.0
825,5406.T,2022,6446000.0
826,5406.T,2023,5811000.0
827,5406.T,2024,5124000.0
831,WTRG.N,2019,35765.0
832,WTRG.N,2020,40672.0
833,WTRG.N,2021,40862.0
834,WTRG.N,2022,37359.0
835,WTRG.N,2023,30810.0
836,WTRG.N,2024,37094.0
843,VTYV.L,2022,572377.0
844,VTYV.L,2023,535159.0
845,VTYV.L,2024,576259.0
850,REDY.NS,2020,87079.6
851,REDY.NS,2021,173930.3
852,REDY.NS,2022,367126.132
853,REDY.NS,2023,376607.4
854,REDY.NS,2024,392315.0
860,6770.T,2021,1792319.0
861,6770.T,2022,1945758.0
862,6770.T,2023,2262210.0
863,6770.T,2024,2439156.0
870,3116.T,2022,2697900.0
871,3116.T,2023,8078700.0
872,3116.T,2024,9093053.0
877,CIMBT.BK,2020,165.2
878,CIMBT.BK,2021,189.4
890,HIAG.S,2024,3005.0
893,SML.NZ,2018,1155.0
894,SML.NZ,2019,1902.0
895,SML.NZ,2020,3596.0
896,SML.NZ,2021,3438.0
897,SML.NZ,2022,2472.0
898,SML.NZ,2023,3101.0
899,SML.NZ,2024,2365.0
903,REG.OQ,2019,577.0
904,REG.OQ,2020,1524.0
905,REG.OQ,2021,665.0
906,REG.OQ,2022,2145.0
907,REG.OQ,2023,871.0
908,REG.OQ,2024,811.0
911,6471.T,2018,1397000.0
912,6471.T,2019,1985000.0
913,6471.T,2020,1629000.0
914,6471.T,2021,1452000.0
915,6471.T,2022,1643000.0
916,6471.T,2023,1365000.0
917,6471.T,2024,1795000.0
923,GLO.PS,2021,449776.66
924,GLO.PS,2022,307495.35
925,GLO.PS,2023,320101.55
926,GLO.PS,2024,176641.02
934,STT.N,2023,202271.0
935,STT.N,2024,238530.0
942,SKISb.ST,2022,43560.0
943,SKISb.ST,2023,35574.0
944,SKISb.ST,2024,19285.0
951,AEM.TO,2022,1482690.0
952,AEM.TO,2023,1352316.0
953,AEM.TO,2024,1198711.0
960,SKO.NZ,2022,109.0
961,SKO.NZ,2023,118.0
962,SKO.NZ,2024,92.0
968,002555.SZ,2021,100.4
969,002555.SZ,2022,80.32
970,002555.SZ,2023,4685.02
971,002555.SZ,2024,3241.12
975,ASGN.N,2019,4279.0
976,ASGN.N,2020,3150.0
977,ASGN.N,2021,3089.0
978,ASGN.N,2022,16.0
979,ASGN.N,2023,2142.86
980,ASGN.N,2024,399.94
987,BSGR.AS,2022,998774.0
988,BSGR.AS,2023,1103404.0
989,BSGR.AS,2024,1416013.0
996,SOBIV.ST,2022,94410.0
997,SOBIV.ST,2023,172009.0
998,SOBIV.ST,2024,216133.0
1005,8354.T,2022,41326.0
1006,8354.T,2023,41974.0
1007,8354.T,2024,46051.0
1014,DAVA.N,2022,11844.0
1015,DAVA.N,2023,11288.0
1016,DAVA.N,2024,11311.0
1021,LVS.N,2020,89494.0
1022,LVS.N,2021,66617.0
1024,LVS.N,2023,500397.0
1025,LVS.N,2024,964741.0
1031,STX.OQ,2021,1900000.0
1032,STX.OQ,2022,1400.0
1033,STX.OQ,2023,1300000.0
1034,STX.OQ,2024,727200.0
1043,0384.HK,2024,12017923.37
1051,NHH.MC,2023,220725.0
1058,XRO.AX,2021,1316.0
1059,XRO.AX,2022,1152.0
1060,XRO.AX,2023,1552.0
1061,XRO.AX,2024,21431.0
1066,POLI.TA,2020,953.54
1067,POLI.TA,2021,894.48
1068,POLI.TA,2022,1013.89
1069,POLI.TA,2023,1186.0
1075,ARDS.AS,2020,424250.0
1076,ARDS.AS,2021,414500.0
1077,ARDS.AS,2022,212000.0
1078,ARDS.AS,2023,202000.0
1079,ARDS.AS,2024,223400.0
1085,097950.KS,2021,8458000.0
1086,097950.KS,2022,6745000.0
1087,097950.KS,2023,5747000.0
1088,097950.KS,2024,5991000.0
1094,AKSGY.IS,2021,75.5
1095,AKSGY.IS,2022,852.8
1096,AKSGY.IS,2023,319.92
1097,AKSGY.IS,2024,362.2
1103,AZE.BR,2021,2648421.0
1104,AZE.BR,2022,6691430.0
1105,AZE.BR,2023,2673996.0
1106,AZE.BR,2024,4390562.0
1113,CNE.L,2022,3401.0
1114,CNE.L,2023,0.0
1115,CNE.L,2024,0.0
1124,FSTA.L,2024,35733.0
1129,SKBNK.IS,2020,296.05
1130,SKBNK.IS,2021,44.0
1131,SKBNK.IS,2022,74.87
1132,SKBNK.IS,2023,106.21
1133,SKBNK.IS,2024,173.39
1139,HFG.L,2021,15286016.0
1140,HFG.L,2022,13229866.0
1141,HFG.L,2023,12561785.0
1142,HFG.L,2024,11945585.0
1146,0388.HK,2019,103.0
1147,0388.HK,2020,56.0
1150,0388.HK,2023,25878.0
1151,0388.HK,2024,27474.0
1159,002459.SZ,2023,19142262.0
1160,002459.SZ,2024,27778243.0
1167,ECOD.KL,2022,27096.978
1168,ECOD.KL,2023,12496.888
1169,ECOD.KL,2024,75.464
1176,BRBR.N,2022,504200.0
1177,BRBR.N,2023,800557.0
1186,CPRI.N,2023,867778.0
1187,CPRI.N,2024,884941.0
1192,BHLB.N,2020,346.8
1193,BHLB.N,2021,29.6
1194,BHLB.N,2022,21.2
1195,BHLB.N,2023,17.2
1196,BHLB.N,2024,17.8
1204,2344.TW,2023,206836.0
1205,2344.TW,2024,706820.0
1212,3673.TW,2022,121717.04
1213,3673.TW,2023,194462.17
1214,3673.TW,2024,68240.36
1219,ARIJ.J,2020,53645.0
1220,ARIJ.J,2021,52305.0
1221,ARIJ.J,2022,679289.0
1222,ARIJ.J,2023,669043.0
1223,ARIJ.J,2024,198280.0
1231,0288.HK,2023,30867939.75
1232,0288.HK,2024,28112382.49
1237,AVB.N,2020,143365.0
1238,AVB.N,2021,132751.0
1239,AVB.N,2022,40509.0
1240,AVB.N,2023,55740.0
1241,AVB.N,2024,61771.0
1249,2875.T,2023,701700.0
1250,2875.T,2024,669600.0
1253,QBE.AX,2018,324.0
1254,QBE.AX,2019,211.0
1255,QBE.AX,2020,93.0
1256,QBE.AX,2021,62.0
1257,QBE.AX,2022,56.0
1258,QBE.AX,2023,49.0
1259,QBE.AX,2024,83.0
1266,LENV.VI,2022,1000000.0
1267,LENV.VI,2023,800000.0
1268,LENV.VI,2024,920000.0
1274,AFG.AX,2021,307.71
1275,AFG.AX,2022,293.14
1276,AFG.AX,2023,422.3
1277,AFG.AX,2024,244.58
1281,CCHE.PA,2019,95600.0
1282,CCHE.PA,2020,103100.0
1283,CCHE.PA,2021,84679.0
1284,CCHE.PA,2022,164778.0
1285,CCHE.PA,2023,185700.0
1286,CCHE.PA,2024,171300.0
1291,204320.KS,2020,114065.0
1292,204320.KS,2021,722899.0
1293,204320.KS,2022,819466.0
1294,204320.KS,2023,1928901.0
1302,BTPS.JK,2022,0.39007
1303,BTPS.JK,2023,0.29167
1304,BTPS.JK,2024,0.28789
1311,361610.KS,2022,45748.0
1312,361610.KS,2023,72395.0
1316,1224.HK,2018,4.4
1317,1224.HK,2019,5.4
1318,1224.HK,2020,3.58
1319,1224.HK,2021,3.8
1320,1224.HK,2022,3.48
1321,1224.HK,2023,2.8
1322,1224.HK,2024,2.53
1326,ETN.N,2019,4520670.0
1327,ETN.N,2020,3496343.0
1328,ETN.N,2021,3924619.0
1329,ETN.N,2022,4726228.78
1330,ETN.N,2023,4631434.89
1331,ETN.N,2024,4305545.0
1336,BVI.PA,2020,318585.0
1337,BVI.PA,2021,305449.0
1338,BVI.PA,2022,361943.0
1339,BVI.PA,2023,351282.0
1340,BVI.PA,2024,362311.0
1344,1802.T,2019,1214800.0
1345,1802.T,2020,1741300.0
1346,1802.T,2021,2499600.0
1347,1802.T,2022,1439400.0
1348,1802.T,2023,1779778.0
1349,1802.T,2024,1839142.0
1356,UCB.BR,2022,726547.0
1357,UCB.BR,2023,802472.0
1358,UCB.BR,2024,692013.0
1362,7180.T,2019,23980.0
1363,7180.T,2020,25908.0
1364,7180.T,2021,26810.0
1365,7180.T,2022,22731.0
1366,7180.T,2023,19329.0
1367,7180.T,2024,21183.0
1374,6324.T,2022,198899.039
1375,6324.T,2023,358791.95
1376,6324.T,2024,289079.13
1380,BIMBOA.MX,2019,6541703.0
1381,BIMBOA.MX,2020,6423074.0
1384,BIMBOA.MX,2023,6132858.0
1385,BIMBOA.MX,2024,5135675.0
1392,VOES.VI,2022,9830000.0
1393,VOES.VI,2023,9270000.0
1394,VOES.VI,2024,9110000.0
1400,6361.T,2021,2078000.0
1401,6361.T,2022,2110000.0
1402,6361.T,2023,2079000.0
1403,6361.T,2024,1984000.0
1408,OVS.MI,2020,316182.0
1409,OVS.MI,2021,216691.0
1410,OVS.MI,2022,328760.0
1411,OVS.MI,2023,323620.0
1415,HRMS.PA,2018,402900.0
1416,HRMS.PA,2019,365600.0
1417,HRMS.PA,2020,336200.0
1418,HRMS.PA,2021,361800.0
1419,HRMS.PA,2022,415100.0
1420,HRMS.PA,2023,462400.0
1421,HRMS.PA,2024,530107.0
1427,1216.TW,2021,984106.0
1428,1216.TW,2022,1013657.0
1429,1216.TW,2023,980159.0
1430,1216.TW,2024,1035013.0
1436,SHL.AX,2021,298542.0
1437,SHL.AX,2022,286675.0
1438,SHL.AX,2023,244605.0
1442,FSF.NZ,2018,24159000.0
1443,FSF.NZ,2019,23513000.0
1444,FSF.NZ,2020,24605000.0
1454,IMAF.PA,2021,436284.5
1455,IMAF.PA,2022,714936.0
1464,DXCO3.SA,2022,5841.91
1472,ZURN.S,2021,1359.0
1473,ZURN.S,2022,1591.0
1474,ZURN.S,2023,1384.0
1475,ZURN.S,2024,2117.0
1483,6271.TW,2023,15928.1012
1484,6271.TW,2024,78489.1232
1490,TEF.MC,2021,1154192.563
1491,TEF.MC,2022,1012294.0
1492,TEF.MC,2023,1026696.2
1493,TEF.MC,2024,1700230.0
1498,ALVG.DE,2020,10860.0
1499,ALVG.DE,2021,9232.0
1500,ALVG.DE,2022,6259.0
1501,ALVG.DE,2023,5647.0
1502,ALVG.DE,2024,8993.5
1506,PPHJ.J,2019,0.0
1507,PPHJ.J,2020,0.0
1508,PPHJ.J,2021,0.0
1509,PPHJ.J,2022,5035.0
1510,PPHJ.J,2023,4317.0
1511,PPHJ.J,2024,2173.0
1519,WISEa.L,2023,16358.0
1520,WISEa.L,2024,30546.0
1523,VOWG.DE,2018,67434157.0
1524,VOWG.DE,2019,71564141.0
1525,VOWG.DE,2020,61301008.0
1526,VOWG.DE,2021,58092388.0
1527,VOWG.DE,2022,80786280.0
1528,VOWG.DE,2023,94907875.0
1529,VOWG.DE,2024,87346897.0
1535,TDC.N,2021,185150.0
1536,TDC.N,2022,33780.0
1537,TDC.N,2023,31374.0
1538,TDC.N,2024,32910.0
1545,SNP.BK,2022,24935.0
1546,SNP.BK,2023,40639.0
1547,SNP.BK,2024,38918.03
1551,CIMB.KL,2019,161.0
1552,CIMB.KL,2020,165.0
1553,CIMB.KL,2021,189.0
1554,CIMB.KL,2022,138.0
1555,CIMB.KL,2023,88.0
1556,CIMB.KL,2024,76.0
1563,BILIa.ST,2022,44693.0
1564,BILIa.ST,2023,320692.0
1565,BILIa.ST,2024,540393.0
1571,GPGR.ST,2021,160.9
1572,GPGR.ST,2022,30.0
1573,GPGR.ST,2023,998.0
1574,GPGR.ST,2024,975.0
1578,SUZB3.SA,2019,93561.56
1579,SUZB3.SA,2020,185375.58
1580,SUZB3.SA,2021,49182.97
1581,SUZB3.SA,2022,5468864.67
1582,SUZB3.SA,2023,5266752.73
1583,SUZB3.SA,2024,5515011.57
1587,7182.T,2019,39095.0
1588,7182.T,2020,42174.0
1589,7182.T,2021,34802.0
1590,7182.T,2022,42165.0
1591,7182.T,2023,37971.0
1592,7182.T,2024,41128.0
1600,JBCH.NS,2023,94821.0
1601,JBCH.NS,2024,106010.0
1609,NEXII.MI,2023,117531.7
1610,NEXII.MI,2024,104143.8
1613,7984.T,2018,414728.0
1614,7984.T,2019,485785.0
1615,7984.T,2020,423833.35
1616,7984.T,2021,407445.73
1617,7984.T,2022,980293.68
1618,7984.T,2023,978295.28
1619,7984.T,2024,968219.51
1623,TUPRS.IS,2019,14425494.0
1624,TUPRS.IS,2020,11672851.0
1625,TUPRS.IS,2021,13214229.0
1626,TUPRS.IS,2022,13709293.0
1627,TUPRS.IS,2023,13552417.0
1628,TUPRS.IS,2024,12480215.0
1632,CMS.N,2019,13936695.0
1635,CMS.N,2022,3038333.0
1636,CMS.N,2023,2888438.0
1637,CMS.N,2024,2351416.0
1649,SMTO3.SA,2018,208513.0
1650,SMTO3.SA,2019,194910.0
1651,SMTO3.SA,2020,205120.0
1652,SMTO3.SA,2021,207867.0
1653,SMTO3.SA,2022,227319.0
1654,SMTO3.SA,2023,212902.0
1655,SMTO3.SA,2024,221307.0
1660,5108.T,2020,6132361.0
1661,5108.T,2021,13038530.0
1662,5108.T,2022,11995000.0
1663,5108.T,2023,10609933.0
1664,5108.T,2024,10210934.0
1672,AMXB.MX,2023,1532567.0
1673,AMXB.MX,2024,1395518.0
1679,688235.SS,2021,228616.0
1680,688235.SS,2022,140499.0
1681,688235.SS,2023,333844.0
1682,688235.SS,2024,505006.0
1688,MVVGn.DE,2021,986000.0
1689,MVVGn.DE,2022,872000.0
1690,MVVGn.DE,2023,2140000.0
1691,MVVGn.DE,2024,1032000.0
1699,MAC.N,2023,1630.0
1700,MAC.N,2024,1550.157
1704,EXPN.L,2019,357400.0
1705,EXPN.L,2020,378900.0
1706,EXPN.L,2021,350900.0
1707,EXPN.L,2022,125700.0
1708,EXPN.L,2023,130867.0
1709,EXPN.L,2024,164327.0
1716,ULTA.OQ,2022,1336964.78
1717,ULTA.OQ,2023,1507368.32
1718,ULTA.OQ,2024,1631197.62
1725,SEK.AX,2022,1999.0
1726,SEK.AX,2023,2747.0
1727,SEK.AX,2024,2469.0
1735,ACLS.OQ,2023,113162.0
1736,ACLS.OQ,2024,69924.0
1743,ARION.IC,2022,57.4
1744,ARION.IC,2023,22.3
1745,ARION.IC,2024,71.7
1752,ECEL.L,2022,163900.0
1753,ECEL.L,2023,152500.0
1754,ECEL.L,2024,148400.0
1761,SNPS.OQ,2022,102339.0
1762,SNPS.OQ,2023,89560.0
1763,SNPS.OQ,2024,82467.0
1769,FTV.N,2021,173018.0
1770,FTV.N,2022,187043.0
1771,FTV.N,2023,185569.0
1772,FTV.N,2024,161024.0
1777,AIXGn.DE,2020,119377.0
1778,AIXGn.DE,2021,31008.0
1779,AIXGn.DE,2022,34768.0
1780,AIXGn.DE,2023,41480.0
1781,AIXGn.DE,2024,38113.0
1788,MRU.TO,2022,10197253.0
1789,MRU.TO,2023,7761099.0
1790,MRU.TO,2024,9513351.0
1798,1044.HK,2023,1109000.0
1807,OMH.AX,2023,128560.0
1808,OMH.AX,2024,146560.0
1815,FRAS.KL,2022,971510.0
1816,FRAS.KL,2023,507451.0
1817,FRAS.KL,2024,1011118.0
1821,DFSD.L,2019,284800.0
1822,DFSD.L,2020,215800.0
1823,DFSD.L,2021,309200.0
1824,DFSD.L,2022,321100.0
1825,DFSD.L,2023,219200.0
1826,DFSD.L,2024,158200.0
1831,LTEN.PA,2020,25234.2
1832,LTEN.PA,2021,39581.44
1833,LTEN.PA,2022,39861.03
1834,LTEN.PA,2023,18114.84768
1835,LTEN.PA,2024,15500.0
1842,BCP.LS,2022,71394.0
1843,BCP.LS,2023,59244.0
