,Instrument,Date,TR.UpstreamScope3PurchasedGoodsAndServices
21038,FTCHQ.PK,2021,223915.0
21049,AMKR.OQ,2023,1852722.0
21050,AMKR.OQ,2024,1756104.0
21056,010140.KS,2021,2376535.0
21057,010140.KS,2022,4087391.0
21058,010140.KS,2023,4293256.0
21064,DRX.L,2020,397282.0
21065,DRX.L,2021,674418.0
21066,DRX.L,2022,783329.0
21067,DRX.L,2023,891672.0
21068,DRX.L,2024,1006296.0
21074,9107.T,2021,25987.0
21075,9107.T,2022,31209.0
21076,9107.T,2023,46478.0
21077,9107.T,2024,46901.0
21084,SAN.NZ,2022,127146.253
21085,SAN.NZ,2023,81174.39
21086,SAN.NZ,2024,108899.0
21091,9142.T,2020,203000.0
21092,9142.T,2021,172000.0
21093,9142.T,2022,170000.0
21094,9142.T,2023,175000.0
21095,9142.T,2024,317000.0
21104,MACT.SI,2024,26678.0
21108,NCLH.N,2019,778605.0
21109,NCLH.N,2020,263445.0
21110,NCLH.N,2021,255268.0
21111,NCLH.N,2022,1031937.0
21112,NCLH.N,2023,1271919.0
21113,NCLH.N,2024,935889.0
21117,8593.T,2019,15497.0
21118,8593.T,2020,8547.0
21119,8593.T,2021,7844.0
21120,8593.T,2022,9295.0
21121,8593.T,2023,7451.0
21122,8593.T,2024,7135.0
21130,5020.T,2023,22690000.0
21131,5020.T,2024,21250000.0
21135,ELIOR.PA,2019,2378000.0
21136,ELIOR.PA,2020,1472000.0
21137,ELIOR.PA,2021,1306600.0
21138,ELIOR.PA,2022,1498000.0
21139,ELIOR.PA,2023,1610275.0
21140,ELIOR.PA,2024,1971793.0
21147,GODR.NS,2022,1291051.94
21148,GODR.NS,2023,1449917.8
21149,GODR.NS,2024,1395339.687
21155,EPR.OL,2021,416613.0
21156,EPR.OL,2022,364891.0
21157,EPR.OL,2023,326928.0
21158,EPR.OL,2024,464595.0
21164,LAND.L,2021,34004.0
21165,LAND.L,2022,21623.0
21166,LAND.L,2023,27516.0
21167,LAND.L,2024,35354.0
21171,1928.T,2019,1561000.0
21172,1928.T,2020,1538000.0
21173,1928.T,2021,2040000.0
21174,1928.T,2022,1833964.0
21175,1928.T,2023,2072896.0
21176,1928.T,2024,2264020.0
21182,BTNJ.J,2021,520.0
21183,BTNJ.J,2022,622.0
21184,BTNJ.J,2023,616.0
21185,BTNJ.J,2024,552.0
21193,VZ.N,2023,12150133.0
21194,VZ.N,2024,10863101.0
21197,PFE.N,2018,1562024.0
21198,PFE.N,2019,3794093.0
21199,PFE.N,2020,2526537.0
21200,PFE.N,2021,3374782.0
21201,PFE.N,2022,8247666.0
21202,PFE.N,2023,3401334.0
21203,PFE.N,2024,2786489.0
21208,8984.T,2020,202.0
21209,8984.T,2021,160.0
21210,8984.T,2022,45.0
21211,8984.T,2023,8609.0
21212,8984.T,2024,13232.0
21216,TRN.MI,2019,18605.3
21217,TRN.MI,2020,9376.2
21218,TRN.MI,2021,1308.7
21219,TRN.MI,2022,4120.1
21220,TRN.MI,2023,24041.4
21221,TRN.MI,2024,200220.2
21228,IOCJ.J,2022,10.0
21229,IOCJ.J,2023,8.0
21230,IOCJ.J,2024,9.0
21235,9984.T,2020,447211.0
21236,9984.T,2021,340222.0
21237,9984.T,2022,2715644.0
21238,9984.T,2023,2916405.0
21239,9984.T,2024,3061864.0
21244,5871.TW,2020,122.11
21245,5871.TW,2021,115.66
21246,5871.TW,2022,115.38
21247,5871.TW,2023,2006.33
21248,5871.TW,2024,63389.165
21252,PETR.KL,2019,8300000.0
21253,PETR.KL,2020,6600000.0
21254,PETR.KL,2021,6300000.0
21255,PETR.KL,2022,8500000.0
21256,PETR.KL,2023,9300000.0
21257,PETR.KL,2024,9600000.0
21265,MOONM.L,2023,72651.0
21266,MOONM.L,2024,71350.0
21271,TELA.VI,2020,387705.0
21272,TELA.VI,2021,420675.0
21273,TELA.VI,2022,423043.0
21274,TELA.VI,2023,267945.0
21275,TELA.VI,2024,240838.0
21283,PRX.AS,2023,3848.0
21284,PRX.AS,2024,1387266.0
21290,GKP.L,2021,1000.0
21291,GKP.L,2022,1000.0
21292,GKP.L,2023,0.0
21293,GKP.L,2024,1000.0
21299,MPE.L,2021,159800.0
21300,MPE.L,2022,173596.0
21301,MPE.L,2023,199200.0
21310,8283.T,2023,5523521.0
21311,8283.T,2024,5715331.0
21319,HWDN.L,2023,493845.0
21320,HWDN.L,2024,381127.0
21337,LZB.N,2023,616247.0
21338,LZB.N,2024,203170.0
21346,128940.KS,2023,46552.0
21347,128940.KS,2024,49467.0
21350,6702.T,2018,2169000.0
21351,6702.T,2019,1840000.0
21352,6702.T,2020,1551000.0
21353,6702.T,2021,1192000.0
21354,6702.T,2022,1304000.0
21355,6702.T,2023,1361000.0
21356,6702.T,2024,1086000.0
21362,MXL.OQ,2021,233097.0
21363,MXL.OQ,2022,297935.0
21364,MXL.OQ,2023,41940.0
21372,UNI.MC,2022,352.43
21373,UNI.MC,2023,642.33
21374,UNI.MC,2024,448.42
21382,2121.T,2023,70066.0
21383,2121.T,2024,80960.0
21390,7747.T,2022,49490.0
21391,7747.T,2023,92610.0
21392,7747.T,2024,95762.0
21399,FAN.L,2022,27363.0
21400,FAN.L,2023,77948.0
21401,FAN.L,2024,67530.0
21403,6971.T,2017,3807860.0
21404,6971.T,2018,3718703.0
21405,6971.T,2019,3645685.0
21406,6971.T,2020,3501568.0
21407,6971.T,2021,3615475.0
21408,6971.T,2022,3733195.0
21409,6971.T,2023,3540146.0
21410,6971.T,2024,2575525.0
21417,HTZ.OQ,2022,372638.0
21418,HTZ.OQ,2023,428990.0
21419,HTZ.OQ,2024,409161.0
21423,AXAF.PA,2019,545546.0
21424,AXAF.PA,2020,25370.0
21425,AXAF.PA,2021,25720.0
21426,AXAF.PA,2022,26798.0
21427,AXAF.PA,2023,548435.0
21428,AXAF.PA,2024,552834.0
21435,OCDO.L,2022,24637.0
21436,OCDO.L,2023,34635.0
21437,OCDO.L,2024,23831.0
21441,CMPR.OQ,2019,465779.0
21442,CMPR.OQ,2020,386813.0
21443,CMPR.OQ,2021,367836.0
21444,CMPR.OQ,2022,551272.0
21445,CMPR.OQ,2023,523442.0
21446,CMPR.OQ,2024,628274.0
21449,MDLZ.OQ,2018,25020562.0
21452,MDLZ.OQ,2021,21110321.0
21453,MDLZ.OQ,2022,27460024.0
21454,MDLZ.OQ,2023,26407762.0
21455,MDLZ.OQ,2024,26591290.0
21459,5201.T,2019,4321000.0
21460,5201.T,2020,3716000.0
21461,5201.T,2021,3406000.0
21462,5201.T,2022,4004000.0
21463,5201.T,2023,3746000.0
21471,VAIAS.HE,2022,23738.0
21472,VAIAS.HE,2023,22229.324
21473,VAIAS.HE,2024,27306.0
21481,3888.HK,2023,25451.28
21482,3888.HK,2024,45310.11
21491,JET2.L,2024,668590.0
21493,ALL.N,2017,1854.0
21494,ALL.N,2018,10675.0
21495,ALL.N,2019,10528.0
21496,ALL.N,2020,348769.0
21497,ALL.N,2021,405075.0
21498,ALL.N,2022,444869.0
21499,ALL.N,2023,2456745.0
21500,ALL.N,2024,913014.0
21505,UU.L,2020,213442.0
21506,UU.L,2021,271871.0
21507,UU.L,2022,292946.0
21508,UU.L,2023,250189.0
21509,UU.L,2024,233480.0
21517,IMG.TO,2023,326971.0
21518,IMG.TO,2024,74677.0
21524,LEGD.PA,2021,2390160.0
21525,LEGD.PA,2022,2396434.0
21526,LEGD.PA,2023,2238177.0
21527,LEGD.PA,2024,2132682.0
21534,SAFE.L,2022,22.0
21535,SAFE.L,2023,20.0
21536,SAFE.L,2024,14.2
21545,GEN.OQ,2024,77007.0
21552,WFRD.OQ,2022,460077.0
21553,WFRD.OQ,2023,595578.0
21554,WFRD.OQ,2024,582540.0
21561,002939.SZ,2022,44.29
21562,002939.SZ,2023,177.4
21563,002939.SZ,2024,49.26
21570,ABI.BR,2022,13803570.0
21571,ABI.BR,2023,13610000.0
21572,ABI.BR,2024,12770000.0
21580,SABR.OQ,2023,81087.0
21581,SABR.OQ,2024,93818.0
21586,DKS.N,2020,471.0
21587,DKS.N,2021,166.0
21588,DKS.N,2022,177.0
21589,DKS.N,2023,171.0
21596,ENTEL.SN,2021,11.8
21597,ENTEL.SN,2022,237041.0
21598,ENTEL.SN,2023,197799.0
21599,ENTEL.SN,2024,127250.0
21603,DOV.N,2019,1029634.0
21604,DOV.N,2020,964328.0
21605,DOV.N,2021,1140828.0
21606,DOV.N,2022,958509.0
21607,DOV.N,2023,950628.0
21614,1808.T,2021,1839955.0
21615,1808.T,2022,2334446.0
21616,1808.T,2023,2095859.0
21617,1808.T,2024,1971097.0
21624,EMEIS.PA,2022,147183.4
21625,EMEIS.PA,2023,65142.5
21633,GBGP.L,2022,426.0
21634,GBGP.L,2023,267.0
21635,GBGP.L,2024,338.0
21641,PSN.L,2021,1254243.0
21642,PSN.L,2022,1288322.0
21643,PSN.L,2023,962496.0
21644,PSN.L,2024,883938.0
21647,GFNORTEO.MX,2018,4437.62
21648,GFNORTEO.MX,2019,254.3
21649,GFNORTEO.MX,2020,95.72
21650,GFNORTEO.MX,2021,3841.67
21651,GFNORTEO.MX,2022,6755.8
21652,GFNORTEO.MX,2023,11657.3
21653,GFNORTEO.MX,2024,7120.1
21666,3105.T,2019,930900.0
21667,3105.T,2020,975000.0
21668,3105.T,2021,1110600.0
21669,3105.T,2022,1031300.0
21670,3105.T,2023,1368600.0
21674,NHY.OL,2018,18830000.0
21677,NHY.OL,2021,13900000.0
21678,NHY.OL,2022,12340000.0
21679,NHY.OL,2023,10990000.0
21680,NHY.OL,2024,10730000.0
21687,4887.T,2022,188900.0
21688,4887.T,2023,198700.0
21689,4887.T,2024,198400.0
21696,ADVANC.BK,2022,234742.0
21697,ADVANC.BK,2023,179328.0
21698,ADVANC.BK,2024,191612.0
21703,3591.T,2020,305372.0
21704,3591.T,2021,273758.0
21705,3591.T,2022,251005.0
21706,3591.T,2023,273944.0
21707,3591.T,2024,140559.0
21723,000120.KS,2022,128181.0
21724,000120.KS,2023,2538.0
21725,000120.KS,2024,92573.0
21730,BEWI.OL,2020,525248.0
21731,BEWI.OL,2021,529148.0
21732,BEWI.OL,2022,589748.0
21733,BEWI.OL,2023,765291.0
21734,BEWI.OL,2024,631892.0
21737,033780.KS,2018,70556.0
21738,033780.KS,2019,77747.0
21739,033780.KS,2020,194065.0
21740,033780.KS,2021,198907.0
21741,033780.KS,2022,240323.0
21742,033780.KS,2023,224444.0
