,Date,TR.TotalAssetsActual,TR.F.PPENetTot,TR.InventoryActValue,TR.CO2IndirectScope2,TR.F.OpExpn,TR.F.GrossProfMarg,TR.NumberofEmployees,TR.EnergyUseTotal,TR.CurrentAssetsActValue,TR.CapexActValue,TR.F.GrossProfIndPropTot,TR.CurrentLiabilitiesActValue,TR.GrossIncomeActValue,TR.CO2DirectScope1,TR.F.AcctRcvblTurnover,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicySustainablePackaging,TR.F.InvntTurnover,TR.GICSSectorCode,TR.HQCountryCode
30,0.03487872665110103,0.07179868842948905,0.18267835894162107,0.08840758550661976,0.2911320114939173,0.20064076366390185,0.12440748919875284,0.10221480454881827,0.42389945140607194,0.014307029371819869,0.12605907335013725,0.16435401281678033,0.11229197821959726,0.059619415387911115,0.28251474922406705,0.08304998239284075,0.006170566819910882,0.00774967387658299,0.0014892329484439259,0.006784690710129852,0.00983795862425017,0.00845405875417493,0.025261809228846095,0.0884702210210759,0.0,0.02252832782124759
All,0.03487872665110103,0.07179868842948905,0.18267835894162104,0.08840758550661974,0.29113201149391726,0.20064076366390188,0.12440748919875284,0.10221480454881827,0.42389945140607177,0.014307029371819865,0.12605907335013725,0.16435401281678036,0.11229197821959726,0.059619415387911115,0.28251474922406705,0.08304998239284074,0.00617056681991088,0.0077496738765829905,0.001489232948443926,0.00678469071012985,0.009837958624250168,0.008454058754174931,0.02526180922884609,0.0884702210210759,0.0,0.02252832782124759
