,Date,TR.TotalAssetsActual,TR.F.PPENetTot,TR.CO2IndirectScope2,TR.F.OpExpn,TR.F.GrossProfMarg,TR.EnergyUseTotal,TR.CurrentAssetsActValue,TR.CapexActValue,TR.F.GrossProfIndPropTot,TR.GPMActValue,TR.CurrentLiabilitiesActValue,TR.GrossIncomeActValue,TR.CO2DirectScope1,TR.F.AcctRcvblTurnover,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicySustainablePackaging,TR.GICSSectorCode,TR.HQCountryCode
45,0.02216370952958862,0.11513534995829862,0.21695789957132477,0.18836050417483852,0.20954776066611247,0.21655031306831102,0.08910569656626481,0.338793119623783,0.07920205677954162,0.04484269873139482,0.12310801677375781,0.17202839993649477,0.15832618473995827,0.12208240542078587,0.07893467755058789,0.07519526230818263,0.06347339660940031,0.002822840886851827,0.0,0.023185166921885273,0.0026860029498844305,0.18825526700275214,0.0,0.4735904962214548
All,0.022163709529588616,0.11513534995829862,0.21695789957132477,0.18836050417483852,0.20954776066611247,0.216550313068311,0.08910569656626481,0.33879311962378306,0.07920205677954162,0.04484269873139481,0.12310801677375781,0.1720283999364948,0.1583261847399583,0.1220824054207859,0.07893467755058789,0.07519526230818263,0.06347339660940031,0.002822840886851827,0.0,0.023185166921885277,0.00268600294988443,0.18825526700275216,0.0,0.4735904962214548
