,Date,TR.TotalAssetsActual,TR.F.PPENetTot,TR.CO2IndirectScope2,TR.F.OpExpn,TR.F.GrossProfMarg,TR.EnergyUseTotal,TR.CurrentAssetsActValue,TR.CapexActValue,TR.F.GrossProfIndPropTot,TR.CurrentLiabilitiesActValue,TR.CO2DirectScope1,TR.F.AcctRcvblTurnover,TR.TakebackRecyclingInitiatives,TR.RenewEnergyUse,TR.PolicyEmissions,TR.PolicyEnergyEfficiency,TR.PolicyEnvSupplyChain,TR.PolicyFairTrade,TR.PolicySustainablePackaging,TR.F.InvntTurnover,TR.GICSSectorCode,TR.HQCountryCode
10,0.015780898079806944,0.07212239912999296,0.0980796902842106,0.30301480586131363,0.8696928825283449,0.14186095253467582,0.13798916279277254,0.1814965616214489,0.05609981175641429,0.02626490060835178,0.34235812194515025,0.14462763392415007,0.04990359551228269,0.0,0.0,0.0004395276571859358,0.003369969534530778,0.0034876289397502143,0.0,0.0,0.08264348179569075,0.0,0.0
All,0.015780898079806944,0.07212239912999295,0.09807969028421058,0.3030148058613136,0.8696928825283445,0.14186095253467584,0.1379891627927725,0.18149656162144898,0.05609981175641429,0.026264900608351783,0.34235812194515025,0.1446276339241501,0.04990359551228269,0.0,0.0,0.0004395276571859357,0.0033699695345307786,0.0034876289397502156,0.0,0.0,0.08264348179569074,0.0,0.0
